q	t	sign	prime	exponent
5897	2361	+	19	1
5897	2361	-	17	1
5903	4521	-	17	1
5953	5031	+	11	1
6037	1867	+	19	1
6037	1867	-	19	2
6043	1706	+	11	1
6043	1706	+	19	2
6043	1706	+	31	1
6043	4336	+	11	1
6043	4336	-	193	1
6089	199	+	11	1
6089	199	-	17	1
6089	5889	-	73	1
6091	828	+	19	2
6091	828	-	19	1
6091	5262	+	11	1
6091	5262	+	19	1
6131	1197	+	11	1
6131	1197	+	19	1
6131	1197	-	11	1
6131	2338	+	31	1
6131	2338	-	41	1
6131	3792	+	11	1
6131	4933	+	19	1
6133	1318	+	19	1
6151	2460	-	17	1
6151	3690	+	11	2
6173	1776	-	17	1
6199	1929	-	31	1
6199	4269	+	379	1
6203	4678	+	11	1
6247	1350	+	19	1
6247	1350	-	19	1
6247	1499	-	37	1
6247	1780	+	11	1
6247	4466	+	11	1
6263	5140	+	11	1
6263	5140	-	17	1
6269	1166	+	11	1
6269	1166	-	19	1
6269	1958	+	11	1
6269	1958	+	37	1
6269	4310	+	11	1
6269	4310	-	11	1
6269	4310	-	19	1
6311	4215	+	19	1
6367	43	+	19	1
6379	2947	+	31	1
6379	2947	+	59	1
6379	2947	-	59	1
6379	2947	-	61	1
6379	3431	+	19	1
6379	3431	-	19	1
6389	6328	-	17	1
6397	409	+	11	1
6397	409	-	11	1
6397	409	-	17	1
6397	4761	+	31	1
6397	4761	-	17	1
6397	5987	-	19	1
6427	5597	+	11	1
6427	5597	-	17	1
6521	5220	+	11	1
6521	5220	-	19	1
6547	851	+	11	1
6547	851	+	347	1
6547	4578	+	11	1
6547	4578	-	11	1
6547	4578	-	17	1
6547	4578	-	19	1
6553	901	+	191	1
6553	5651	-	19	1
6577	5337	-	19	1
6581	92	+	31	1
6581	6488	+	11	1
6637	5991	+	37	1
6637	5991	-	37	1
6637	5991	-	41	1
6659	80	+	11	1
6679	1847	+	11	1
6679	4831	+	31	1
6733	6346	+	11	1
6779	3947	+	11	1
6779	3947	-	17	1
6779	6561	+	11	1
6779	6561	+	139	1
6781	3462	+	11	1
6781	3462	-	11	1
6781	3974	+	19	1
6827	4973	+	11	1
6827	4973	-	11	1
6833	6785	-	17	1
6841	931	+	11	1
6841	3207	+	19	1
6841	3207	-	19	1
6841	3633	+	19	1
6841	3633	-	19	1
6841	3924	+	19	1
6841	3924	+	41	1
6841	3924	+	233	1
6841	3924	-	19	1
6841	3924	-	41	1
6947	2932	+	11	1
6949	216	+	11	1
6949	216	-	11	1
7001	5092	-	19	1
7109	508	+	41	1
7211	6671	-	11	1
7229	4878	-	59	1
7247	4178	+	19	1
7247	4178	-	19	1
7297	4014	-	73	1
7297	4579	+	11	1
7297	4579	-	11	1
7333	2477	-	17	1
7451	2564	+	11	1
7459	2688	-	271	1
7459	4770	-	19	1
7477	7072	+	19	1
7489	600	-	11	1
7489	600	-	19	1
7489	1530	-	17	1
7489	5122	-	17	2
7489	5122	-	19	1
7489	5958	+	11	1
7489	5958	+	19	1
7489	5958	-	19	1
7489	6888	+	19	1
7507	6375	+	11	1
7507	6375	-	19	1
7537	1741	-	193	1
7537	5795	+	41	1
7537	6267	+	31	1
7537	6267	-	11	1
7537	6267	-	41	1
7547	6050	+	11	1
7547	6050	-	31	1
7549	5519	-	11	1
7549	7295	+	11	1
7549	7295	+	31	1
7549	7295	-	31	1
7559	6349	+	41	1
7559	6349	-	31	1
7561	2923	+	19	1
7561	3340	+	11	1
7561	4637	+	41	1
7561	4637	-	41	1
7639	1735	-	17	1
7639	5903	+	31	1
7687	3641	-	17	1
7687	4045	-	17	1
7723	5329	+	31	1
7723	5329	+	59	1
7723	5329	-	17	1
7727	2837	+	19	1
7727	2837	-	19	1
7727	2837	-	41	1
7727	4889	+	19	1
7727	4889	+	31	1
7727	4889	-	17	1
7727	6539	+	19	1
7841	3829	+	41	1
7841	4011	+	11	1
7841	4011	-	19	2
7873	3345	+	11	1
7873	3345	+	31	1
7873	3345	-	31	1
7873	4527	+	19	1
7873	4527	-	11	1
7877	1260	+	11	1
7877	1260	-	11	1
7879	1400	+	61	1
8009	989	+	11	1
8009	989	-	11	1
8009	7019	-	17	1
8011	2683	+	59	1
8017	3754	+	19	1
8017	3754	-	11	1
8039	171	-	11	1
8053	3526	+	19	1
8053	3526	+	61	1
8053	3526	-	11	1
8053	3526	-	19	1
8053	3526	-	31	1
8059	3174	+	11	1
8087	519	-	17	1
8087	7567	-	19	1
8093	2673	+	19	1
8093	3757	+	19	1
8093	4335	-	17	1
8111	4092	-	59	1
8231	1148	-	41	1
8231	7082	+	11	1
8231	7082	+	19	1
8231	7082	-	11	1
8231	7082	-	19	1
8233	3211	-	11	1
8237	438	+	11	1
8237	438	-	11	1
8237	492	-	11	1
8237	7744	+	19	1
8237	7798	+	19	1
8243	4423	+	11	1
8311	5694	-	31	1
8369	2351	-	11	1
8369	6017	+	59	1
8389	571	+	19	1
8389	571	+	41	1
8389	571	-	11	1
8389	571	-	19	1
8389	7817	+	11	1
8429	4857	+	19	1
8461	196	-	31	1
8461	8264	-	19	1
8527	7241	-	19	1
8537	88	+	19	1
8537	88	-	31	1
8537	3923	+	59	1
8537	4613	+	19	1
8537	4613	-	17	1
8537	4613	-	19	1
8537	8448	+	19	1
8563	1853	-	17	1
8563	6709	-	19	1
8573	2418	-	11	1
8573	5563	-	19	1
8573	6154	+	19	1
8581	6231	+	19	1
8609	6657	-	17	1
8647	3785	-	19	1
8647	4861	-	19	1
8647	4861	-	41	1
8647	7628	+	19	1
8647	7628	-	37	1
8663	1943	-	11	1
8663	7211	+	11	1
8669	6465	+	19	1
8681	3100	-	19	1
8681	5580	+	19	1
8681	5580	-	19	1
8699	1870	-	31	1
8699	6828	-	19	1
8731	1269	-	17	1
8737	4008	+	19	1
8737	4008	+	31	1
8737	4728	+	11	1
8737	4728	-	17	1
8753	5091	-	19	1
8761	5561	-	19	1
8761	5561	-	37	1
8779	2435	+	19	1
8779	2435	+	59	1
8779	2435	-	19	1
8863	8694	-	19	1
8893	6209	+	19	1
8893	6209	-	19	1
8929	1320	+	19	1
8929	1320	-	19	1
8929	7608	+	41	1
8951	2496	+	11	1
8951	2496	+	19	1
8969	2951	-	11	1
8969	6017	+	19	1
8969	6017	-	17	1
8969	6017	-	19	1
8971	1163	+	19	1
8971	1163	-	11	1
9029	8787	-	17	1
9041	8568	-	17	1
9059	4450	+	19	1
9059	4450	-	19	1
9059	4450	-	41	1
9067	3478	+	11	1
9091	2638	+	19	1
9091	7569	+	31	1
9137	2792	+	19	1
9137	2792	-	19	1
9157	130	-	17	1
9157	7436	+	11	1
9173	2951	-	19	1
9173	6221	-	19	1
9227	4297	-	19	1
9257	3382	+	19	1
9293	6832	-	97	1
9319	2257	-	19	1
9319	7061	-	17	1
9391	238	+	19	1
9391	5445	-	17	1
9391	5445	-	31	1
9391	9152	+	11	1
9391	9152	-	19	1
9397	1741	-	193	1
9413	357	+	37	1
9413	9055	-	11	1
9419	9385	+	11	1
9431	9350	+	61	1
9461	3589	+	19	1
9461	5871	+	41	2
9463	3060	+	11	1
9521	4506	+	19	1
9601	9119	-	59	1
9613	131	-	17	1
9613	9481	+	11	1
9623	4612	+	41	1
9623	5010	+	19	1
9643	1044	+	19	1
9643	1044	-	17	1
9643	1044	-	19	1
9643	8598	+	11	1
9643	8598	-	17	2
9677	1932	-	17	1
9677	1932	-	19	1
9677	7744	+	11	1
9679	3617	+	19	1
9679	6061	+	19	1
9679	6061	-	17	1
9679	6061	-	19	1
9679	7300	-	17	1
9721	290	-	59	1
9733	2640	+	41	1
9733	2640	-	17	1
9733	7092	+	11	1
9733	7092	+	19	1
9767	5527	+	31	1
9767	5527	+	73	1
9787	2646	+	19	1
9787	2848	+	19	1
9787	6685	+	11	1
9787	6685	-	19	1
9787	6938	+	11	1
9787	6938	+	19	1
9787	6938	-	11	1
9787	7140	+	11	1
9791	8811	-	17	1
9851	961	-	17	1
9851	1078	+	19	1
9851	8772	+	31	1
9851	8772	-	17	2
9851	8889	+	31	1
9851	8889	-	17	1
9857	1663	+	31	1
9857	1663	-	31	1
9857	8193	-	31	1
9859	1638	+	41	1
9859	1638	-	31	1
9907	8799	-	17	2
9929	370	+	19	1
9929	9558	+	19	1
9929	9558	-	17	1
9949	7215	+	19	1
9949	7215	-	17	1
9949	7215	-	19	1
10007	3943	-	17	1
10007	6063	+	11	1
10007	6063	-	11	1
10007	6063	-	17	1
10037	6223	+	37	1
10037	6223	+	139	1
10037	6223	-	11	1
10037	6223	-	17	1
10039	1402	-	19	1
10039	1402	-	31	1
10067	431	-	41	1
10067	2811	-	11	1
10067	9635	+	31	1
10069	1014	-	19	1
10069	9054	-	31	1
10091	9239	+	19	1
10093	629	+	11	1
10093	9463	-	37	1
10133	4145	-	17	2
10159	4242	-	17	1
10159	4637	+	19	1
10159	4637	+	59	1
10159	4637	-	17	1
10159	5521	+	11	1
10159	5521	-	11	1
10159	5521	-	17	1
10177	2617	+	19	1
10177	2617	+	37	1
10177	2617	-	37	1
10177	2617	-	61	1
10177	7559	+	19	1
