q	t	sign	n6	nOther	rawGcdBits	rawGcdSha256	qVal	qFreeGcd	primitiveGcd	factors	omega	rawWindow	m5Capable	rawLeaves	assignedLeaves	sizeCertified	thresholdRatio
193	128	+	1286	2444	22	03b38f51c51e9f7b33e3f5eaad80e212c1a0c69347500cdcd566bb6a31ce260a	1	12125	97	97	1	false	false	0	0	true	NA
193	128	-	1286	64	8	1e6ec1d51d6843b10db10c6efd8260b6ea1cd1f140642c9de593b7b237468713	1	1	1	1	0	false	false	0	0	true	NA
193	162	+	1320	2478	8	1e6ec1d51d6843b10db10c6efd8260b6ea1cd1f140642c9de593b7b237468713	1	1	1	1	0	false	false	0	0	true	NA
193	162	-	1320	30	8	1e6ec1d51d6843b10db10c6efd8260b6ea1cd1f140642c9de593b7b237468713	1	1	1	1	0	false	false	0	0	true	NA
197	44	+	1226	2408	13	af5c6debcb444d2f63db651ef72c2cade04bbe928cf4fbd340982c48f4e97a3f	1	25	1	1	0	true	false	0	0	true	0.00000000000000
197	44	-	1226	152	17	f21dc4cc6fad171215958f1ee8c45f401c43ea394d484f350578857007ad63c5	1	475	19	19	1	false	false	0	0	true	NA
197	152	+	1334	2516	13	af5c6debcb444d2f63db651ef72c2cade04bbe928cf4fbd340982c48f4e97a3f	1	25	1	1	0	true	false	0	0	true	0.00000000000000
197	152	-	1334	44	13	af5c6debcb444d2f63db651ef72c2cade04bbe928cf4fbd340982c48f4e97a3f	1	25	1	1	0	false	false	0	0	true	NA
211	100	+	1366	2632	13	ab0bfefa5c7fe96321c84371b1e8a0a15cdbca235f79419c9f08bd209c9eb717	1	25	1	1	0	true	false	0	0	true	0.00000000000000
211	100	-	1366	110	8	5be983d9750d857dc969b252e272904cdb658e6bd7c41a73c56b75c0e6fd01c7	1	1	1	1	0	false	false	0	0	true	NA
211	110	+	1376	2642	13	ab0bfefa5c7fe96321c84371b1e8a0a15cdbca235f79419c9f08bd209c9eb717	1	25	1	1	0	true	false	0	0	true	0.00000000000000
211	110	-	1376	100	8	5be983d9750d857dc969b252e272904cdb658e6bd7c41a73c56b75c0e6fd01c7	1	1	1	1	0	false	false	0	0	true	NA
227	73	+	1435	2797	13	1854ca660a41e934f6b496e7f6fd28c6be817591402832d02a6621402230c579	1	25	1	1	0	true	false	0	0	true	0.00000000000000
