rank,cyclic,linear,nearest_zero,sign,q,t,p,Z,selected
191,215544,215544,519289,+,7660417,734833,6878671,2,0
192,216004,216004,599136,+,2789441,383132,2557561,2,0
193,217484,217484,39025,+,3180337,256509,2791681,2,0
194,219159,219159,1161520,+,2848121,942361,2597041,2,0
195,220112,220112,652459,+,2511389,432347,2248139,2,0
196,220962,220962,291306,-,1005373,70344,897751,4,0
197,221266,221266,1891850,+,3230797,1670584,3033913,4,0
198,221366,221366,862467,+,9365299,641101,8333309,4,0
199,221630,221630,174206,+,4000039,395836,3541877,2,0
200,222681,222681,339334,-,6919463,116653,6744523,2,0
