Q543 EXACT PROBE: odd primes 3 <= p <= 1000
All arithmetic is exact in F_p; no randomized sampling.

PER-PRIME CSV
p,h,all_candidates,raw_beta0,nondeg_candidates,nondeg_beta0,nonadj_candidates,nonadj_beta0,zeros_half,zeros_full,half_actual_pairs,full_actual_pairs,mirror_pairs,independent_pairs
179,89,4005,107,3916,18,3828,18,36,36:142,0,1,1,0
181,90,4095,117,4005,27,3916,27,19:47,19:47:133:161,1,6,2,4
191,95,4560,119,4465,24,4371,24,81,81:109,0,1,1,0
193,96,4656,115,4560,19,4465,19,30:64,30:64:128:162,1,6,2,4
197,98,4851,116,4753,18,4656,18,44,44:152,0,1,1,0
199,99,4950,122,4851,23,4753,23,-,-,0,0,0,0
211,105,5565,130,5460,25,5356,25,100,100:110,0,1,1,0
223,111,6216,137,6105,26,5995,26,-,-,0,0,0,0
227,113,6441,137,6328,24,6216,24,73,73:153,0,1,1,0
229,114,6555,151,6441,37,6328,37,-,-,0,0,0,0
233,116,6786,149,6670,33,6555,33,39,39:193,0,1,1,0
239,119,7140,145,7021,26,6903,26,-,-,0,0,0,0
241,120,7260,145,7140,25,7021,25,89,89:151,0,1,1,0
251,125,7875,161,7750,36,7626,36,114,114:136,0,1,1,0
257,128,8256,174,8128,46,8001,46,72,72:184,0,1,1,0
263,131,8646,171,8515,40,8385,40,-,-,0,0,0,0
269,134,9045,165,8911,31,8778,31,-,-,0,0,0,0
271,135,9180,169,9045,34,8911,34,17:41,17:41:229:253,1,6,2,4
277,138,9591,181,9453,43,9316,43,-,-,0,0,0,0
281,140,9870,167,9730,27,9591,27,-,-,0,0,0,0
283,141,10011,173,9870,32,9730,32,140,140:142,0,1,1,0
293,146,10731,181,10585,35,10440,35,47:83,47:83:209:245,1,6,2,4
307,153,11781,181,11628,28,11476,28,86,86:220,0,1,1,0
311,155,12090,197,11935,42,11781,42,-,-,0,0,0,0
313,156,12246,189,12090,33,11935,33,-,-,0,0,0,0
317,158,12561,191,12403,33,12246,33,-,-,0,0,0,0
331,165,13695,195,13530,30,13366,30,109,109:221,0,1,1,0
337,168,14196,212,14028,44,13861,44,-,-,0,0,0,0
347,173,15051,204,14878,31,14706,31,118,118:228,0,1,1,0
349,174,15225,216,15051,42,14878,42,-,-,0,0,0,0
353,176,15576,212,15400,36,15225,36,-,-,0,0,0,0
359,179,16110,230,15931,51,15753,51,-,-,0,0,0,0
367,183,16836,224,16653,41,16471,41,182,182:184,0,1,1,0
373,186,17391,241,17205,55,17020,55,-,-,0,0,0,0
379,189,17955,230,17766,41,17578,41,85:152:171,85:152:171:207:226:293,3,15,3,12
383,191,18336,235,18145,44,17955,44,-,-,0,0,0,0
389,194,18915,253,18721,59,18528,59,-,-,0,0,0,0
397,198,19701,250,19503,52,19306,52,-,-,0,0,0,0
401,200,20100,244,19900,44,19701,44,-,-,0,0,0,0
409,204,20910,253,20706,49,20503,49,-,-,0,0,0,0
419,209,21945,263,21736,54,21528,54,161,161:257,0,1,1,0
421,210,22155,277,21945,67,21736,67,-,-,0,0,0,0
431,215,23220,282,23005,67,22791,67,56,56:374,0,1,1,0
433,216,23436,270,23220,54,23005,54,195,195:237,0,1,1,0
439,219,24090,278,23871,59,23653,59,140,140:298,0,1,1,0
443,221,24531,273,24310,52,24090,52,168,168:274,0,1,1,0
449,224,25200,284,24976,60,24753,60,-,-,0,0,0,0
457,228,26106,281,25878,53,25651,53,-,-,0,0,0,0
461,230,26565,280,26335,50,26106,50,-,-,0,0,0,0
463,231,26796,283,26565,52,26335,52,53,53:409,0,1,1,0
467,233,27261,291,27028,58,26796,58,-,-,0,0,0,0
479,239,28680,303,28441,64,28203,64,-,-,0,0,0,0
487,243,29646,298,29403,55,29161,55,-,-,0,0,0,0
491,245,30135,300,29890,55,29646,55,-,-,0,0,0,0
499,249,31125,313,30876,64,30628,64,67:170:203,67:170:203:295:328:431,3,15,3,12
503,251,31626,310,31375,59,31125,59,61,61:441,0,1,1,0
509,254,32385,301,32131,47,31878,47,-,-,0,0,0,0
521,260,33930,326,33670,66,33411,66,-,-,0,0,0,0
523,261,34191,339,33930,78,33670,78,-,-,0,0,0,0
541,270,36585,341,36315,71,36046,71,4,4:536,0,1,1,0
547,273,37401,348,37128,75,36856,75,-,-,0,0,0,0
557,278,38781,354,38503,76,38226,76,-,-,0,0,0,0
563,281,39621,344,39340,63,39060,63,-,-,0,0,0,0
569,284,40470,367,40186,83,39903,83,-,-,0,0,0,0
571,285,40755,366,40470,81,40186,81,140,140:430,0,1,1,0
577,288,41616,379,41328,91,41041,91,112,112:464,0,1,1,0
587,293,43071,359,42778,66,42486,66,-,-,0,0,0,0
593,296,43956,364,43660,68,43365,68,162,162:430,0,1,1,0
599,299,44850,352,44551,53,44253,53,145:272,145:272:326:453,1,6,2,4
601,300,45150,375,44850,75,44551,75,-,-,0,0,0,0
607,303,46056,395,45753,92,45451,92,-,-,0,0,0,0
613,306,46971,391,46665,85,46360,85,-,-,0,0,0,0
617,308,47586,384,47278,76,46971,76,298,298:318,0,1,1,0
619,309,47895,370,47586,61,47278,61,-,-,0,0,0,0
631,315,49770,399,49455,84,49141,84,112,112:518,0,1,1,0
641,320,51360,410,51040,90,50721,90,-,-,0,0,0,0
643,321,51681,419,51360,98,51040,98,-,-,0,0,0,0
647,323,52326,411,52003,88,51681,88,-,-,0,0,0,0
653,326,53301,404,52975,78,52650,78,-,-,0,0,0,0
659,329,54285,425,53956,96,53628,96,76,76:582,0,1,1,0
661,330,54615,403,54285,73,53956,73,-,-,0,0,0,0
673,336,56616,422,56280,86,55945,86,-,-,0,0,0,0
677,338,57291,430,56953,92,56616,92,-,-,0,0,0,0
683,341,58311,413,57970,72,57630,72,-,-,0,0,0,0
691,345,59685,423,59340,78,58996,78,337,337:353,0,1,1,0
701,350,61425,438,61075,88,60726,88,101,101:599,0,1,1,0
709,354,62835,429,62481,75,62128,75,220:321,220:321:387:488,1,6,2,4
719,359,64620,444,64261,85,63903,85,-,-,0,0,0,0
727,363,66066,452,65703,89,65341,89,-,-,0,0,0,0
733,366,67161,476,66795,110,66430,110,22,22:710,0,1,1,0
739,369,68265,449,67896,80,67528,80,-,-,0,0,0,0
743,371,69006,475,68635,104,68265,104,-,-,0,0,0,0
751,375,70500,464,70125,89,69751,89,33,33:717,0,1,1,0
757,378,71631,468,71253,90,70876,90,116,116:640,0,1,1,0
761,380,72390,469,72010,89,71631,89,319:342,319:342:418:441,1,6,2,4
769,384,73920,494,73536,110,73153,110,272,272:496,0,1,1,0
773,386,74691,480,74305,94,73920,94,-,-,0,0,0,0
787,393,77421,475,77028,82,76636,82,89,89:697,0,1,1,0
797,398,79401,496,79003,98,78606,98,-,-,0,0,0,0
809,404,81810,516,81406,112,81003,112,-,-,0,0,0,0
811,405,82215,501,81810,96,81406,96,-,-,0,0,0,0
821,410,84255,511,83845,101,83436,101,103:282,103:282:538:717,1,6,2,4
823,411,84666,517,84255,106,83845,106,-,-,0,0,0,0
827,413,85491,506,85078,93,84666,93,-,-,0,0,0,0
829,414,85905,517,85491,103,85078,103,-,-,0,0,0,0
839,419,87990,523,87571,104,87153,104,-,-,0,0,0,0
853,426,90951,519,90525,93,90100,93,-,-,0,0,0,0
857,428,91806,540,91378,112,90951,112,371,371:485,0,1,1,0
859,429,92235,553,91806,124,91378,124,-,-,0,0,0,0
863,431,93096,534,92665,103,92235,103,-,-,0,0,0,0
877,438,96141,541,95703,103,95266,103,-,-,0,0,0,0
881,440,97020,552,96580,112,96141,112,67,67:813,0,1,1,0
883,441,97461,549,97020,108,96580,108,-,-,0,0,0,0
887,443,98346,543,97903,100,97461,100,329,329:557,0,1,1,0
907,453,102831,571,102378,118,101926,118,156:407,156:407:499:750,1,6,2,4
911,455,103740,560,103285,105,102831,105,249,249:661,0,1,1,0
919,459,105570,576,105111,117,104653,117,-,-,0,0,0,0
929,464,107880,563,107416,99,106953,99,-,-,0,0,0,0
937,468,109746,563,109278,95,108811,95,363,363:573,0,1,1,0
941,470,110685,596,110215,126,109746,126,-,-,0,0,0,0
947,473,112101,598,111628,125,111156,125,348,348:598,0,1,1,0
953,476,113526,588,113050,112,112575,112,185,185:767,0,1,1,0
967,483,116886,612,116403,129,115921,129,-,-,0,0,0,0
971,485,117855,594,117370,109,116886,109,351,351:619,0,1,1,0
977,488,119316,612,118828,124,118341,124,144,144:832,0,1,1,0
983,491,120786,623,120295,132,119805,132,-,-,0,0,0,0
991,495,122760,614,122265,119,121771,119,369,369:621,0,1,1,0
997,498,124251,619,123753,121,123256,121,-,-,0,0,0,0

AGGREGATE
number_of_odd_primes=167
all_candidates_total=6168151
raw_total=47379
nondeg_candidates_total=6130172
nondeg_total=9400
nonadj_candidates_total=6092360
nonadj_total=9400
nondeg_observed=9400
nondeg_expected_1_over_p=9432.761780047691
nondeg_expected_1_over_p_plus_1=9412.784643790104
nondeg_descriptive_z_1_over_p=-0.337684637858
nondeg_descriptive_z_1_over_p_plus_1=-0.131913167751
nondeg_ordered_observed=18800
nondeg_ordered_expected_1_over_p=18865.523560095382
nondeg_ordered_expected_1_over_p_plus_1=18825.569287580209
nonadj_observed=9400
nonadj_expected_1_over_p=9351.808900238453
nonadj_expected_1_over_p_plus_1=9332.353931370315
nonadj_descriptive_z_1_over_p=0.498854145081
nonadj_descriptive_z_1_over_p_plus_1=0.700967396184
nonadj_ordered_observed=18800
nonadj_ordered_expected_1_over_p=18703.617800476906
nonadj_ordered_expected_1_over_p_plus_1=18664.707862740630
total_half_actual_zero_pairs=15
total_full_actual_zero_pairs=142
total_mirror_zero_pairs=82
total_independent_nonmirror_zero_pairs=60
total_half_zero_start_equivalence_checks=8467
total_full_zero_start_equivalence_checks=38363
all_palindromy_checks=PASS
all_consecutive_zero_checks=PASS
all_actual_zero_pair_beta_checks=PASS
all_zero_start_iff_checks=PASS

PRIMES WITH INDEPENDENT NONMIRROR ZERO PAIRS
p=181 zeros_half=[19, 47] zeros_full=[19, 47, 133, 161] independent_pairs=4
p=193 zeros_half=[30, 64] zeros_full=[30, 64, 128, 162] independent_pairs=4
p=271 zeros_half=[17, 41] zeros_full=[17, 41, 229, 253] independent_pairs=4
p=293 zeros_half=[47, 83] zeros_full=[47, 83, 209, 245] independent_pairs=4
p=379 zeros_half=[85, 152, 171] zeros_full=[85, 152, 171, 207, 226, 293] independent_pairs=12
p=499 zeros_half=[67, 170, 203] zeros_full=[67, 170, 203, 295, 328, 431] independent_pairs=12
p=599 zeros_half=[145, 272] zeros_full=[145, 272, 326, 453] independent_pairs=4
p=709 zeros_half=[220, 321] zeros_full=[220, 321, 387, 488] independent_pairs=4
p=761 zeros_half=[319, 342] zeros_full=[319, 342, 418, 441] independent_pairs=4
p=821 zeros_half=[103, 282] zeros_full=[103, 282, 538, 717] independent_pairs=4
p=907 zeros_half=[156, 407] zeros_full=[156, 407, 499, 750] independent_pairs=4

SELECTED ROWS
p=3: raw=1/1; nondeg=0/0; nonadj=0/0; E_1/p=0.000000; E_1/(p+1)=0.000000; zeros_half=[]
p=5: raw=2/3; nondeg=0/1; nonadj=0/0; E_1/p=0.000000; E_1/(p+1)=0.000000; zeros_half=[1]
p=7: raw=3/6; nondeg=0/3; nonadj=0/1; E_1/p=0.142857; E_1/(p+1)=0.125000; zeros_half=[]
p=11: raw=6/15; nondeg=1/10; nonadj=1/6; E_1/p=0.545455; E_1/(p+1)=0.500000; zeros_half=[5]
p=13: raw=8/21; nondeg=2/15; nonadj=2/10; E_1/p=0.769231; E_1/(p+1)=0.714286; zeros_half=[]
p=17: raw=8/36; nondeg=0/28; nonadj=0/21; E_1/p=1.235294; E_1/(p+1)=1.166667; zeros_half=[3]
p=19: raw=11/45; nondeg=2/36; nonadj=2/28; E_1/p=1.473684; E_1/(p+1)=1.400000; zeros_half=[8]
p=23: raw=14/66; nondeg=3/55; nonadj=3/45; E_1/p=1.956522; E_1/(p+1)=1.875000; zeros_half=[]
p=29: raw=16/105; nondeg=2/91; nonadj=2/78; E_1/p=2.689655; E_1/(p+1)=2.600000; zeros_half=[]
p=31: raw=18/120; nondeg=3/105; nonadj=3/91; E_1/p=2.935484; E_1/(p+1)=2.843750; zeros_half=[8]
p=47: raw=27/276; nondeg=4/253; nonadj=4/231; E_1/p=4.914894; E_1/(p+1)=4.812500; zeros_half=[]
p=97: raw=56/1176; nondeg=8/1128; nonadj=8/1081; E_1/p=11.144330; E_1/(p+1)=11.030612; zeros_half=[25]
p=199: raw=122/4950; nondeg=23/4851; nonadj=23/4753; E_1/p=23.884422; E_1/(p+1)=23.765000; zeros_half=[]
p=499: raw=313/31125; nondeg=64/30876; nonadj=64/30628; E_1/p=61.378758; E_1/(p+1)=61.256000; zeros_half=[67, 170, 203]
p=997: raw=619/124251; nondeg=121/123753; nonadj=121/123256; E_1/p=123.626881; E_1/(p+1)=123.503006; zeros_half=[]
