p,Z,scale,K0,signed_frequency_count,literal_signed_offdiag,signed_total_including_diag,signed_diagonal,task_prediction,literal_over_task_prediction,signed_total_prediction,signed_total_ratio,signed_off_poisson_prediction,signed_off_poisson_ratio,signed_off_fixed_margin_prediction,signed_off_fixed_margin_ratio,signed_total_fixed_margin_prediction,signed_total_fixed_margin_ratio,positive_offdiag,positive_total
1381,2,cuberoot,11,22,4,48,44,22.3504706734,0.178967148319,45.4018826937,1.05722488038,1.33816075308,2.98917748918,0.670050761421,5.9696969697,44.6700507614,1.07454545455,0,22
1399,0,sqrt,37,74,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1399,0,cuberoot,11,22,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1409,0,sqrt,37,74,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1409,0,cuberoot,11,22,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1423,0,sqrt,37,74,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1423,0,cuberoot,11,22,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1427,2,sqrt,37,74,4,152,148,77.8374211633,0.0513891639808,163.349684653,0.930519090519,15.1422564821,0.264161421696,7.58175438596,0.527582376897,155.581754386,0.976978313427,0,74
1427,2,cuberoot,11,22,0,44,44,22.3391730904,0,45.3566923616,0.970088375255,1.29502452698,0,0.648421052632,0,44.6484210526,0.985477178423,0,22
1429,0,sqrt,37,74,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1429,0,cuberoot,11,22,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1433,2,sqrt,37,74,4,152,148,77.8213538032,0.0513997740275,163.285415213,0.930885344548,15.0788555478,0.265272121437,7.5499650594,0.529803776379,155.549965059,0.977177975848,2,76
1433,2,cuberoot,11,22,0,44,44,22.3377529658,0,45.3510118632,0.970209884902,1.28960223308,0,0.64570230608,0,44.6457023061,0.985537190083,0,22
1439,0,sqrt,37,74,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1439,0,cuberoot,11,22,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1447,2,sqrt,38,76,8,160,152,79.99170698,0.10001036735,167.96682792,0.95256903986,15.7567380788,0.507719298246,7.8892733564,1.01403508772,159.889273356,1.00069252078,4,80
