p,Z,cloud_size,pencil_line_count,vertical_line_count,slope_zero_count,max_line,max_nonzero_line,line_energy,nonzero_line_energy,random_raw_energy,raw_energy_ratio,forced_diagonal_prediction,forced_diagonal_ratio,random_nonzero_energy,nonzero_energy_ratio,line_count_distribution,pencil_line_count_distribution,nonzero_line_distribution
1559,2,4,1560,0,2,2,1,6,2,4.00769724182,1.4971190781,6.00128452152,0.999785958904,2.00128452152,0.999358151476,"{""0"": 1556, ""1"": 2, ""2"": 1}","{""0"": 1557, ""1"": 2, ""2"": 1}","{""0"": 1556, ""1"": 2}"
1619,2,4,1620,0,2,2,1,6,2,4.00741198271,1.49722564735,6.00123685838,0.999793899423,2.00123685838,0.999381953028,"{""0"": 1616, ""1"": 2, ""2"": 1}","{""0"": 1617, ""1"": 2, ""2"": 1}","{""0"": 1616, ""1"": 2}"
1621,4,16,1622,0,4,4,1,28,12,16.1480567551,1.73395476773,28.0815318098,0.997096603906,12.0815318098,0.993251533742,"{""0"": 1608, ""1"": 12, ""4"": 1}","{""0"": 1609, ""1"": 12, ""4"": 1}","{""0"": 1608, ""1"": 12}"
1637,2,4,1638,0,2,2,1,6,2,4.00733048259,1.49725609756,6.00122324159,0.999796167958,2.00122324159,0.999388753056,"{""0"": 1634, ""1"": 2, ""2"": 1}","{""0"": 1635, ""1"": 2, ""2"": 1}","{""0"": 1634, ""1"": 2}"
1657,2,4,1658,0,2,2,1,6,2,4.00724200362,1.49728915663,6.00120845921,0.999798630689,2.00120845921,0.999396135266,"{""0"": 1654, ""1"": 2, ""2"": 1}","{""0"": 1655, ""1"": 2, ""2"": 1}","{""0"": 1654, ""1"": 2}"
1669,2,4,1670,0,2,2,1,6,2,4.00718993409,1.49730861244,6.00119976005,0.999800079968,2.00119976005,0.999400479616,"{""0"": 1666, ""1"": 2, ""2"": 1}","{""0"": 1667, ""1"": 2, ""2"": 1}","{""0"": 1666, ""1"": 2}"
1709,4,16,1710,0,4,4,1,28,12,16.1404330018,1.7347737819,28.0773286467,0.997245868803,12.0773286467,0.993597206054,"{""0"": 1696, ""1"": 12, ""4"": 1}","{""0"": 1697, ""1"": 12, ""4"": 1}","{""0"": 1696, ""1"": 12}"
1723,2,4,1724,0,2,2,1,6,2,4.00696459663,1.49739281576,6.00116211505,0.999806351665,2.00116211505,0.999419279907,"{""0"": 1720, ""1"": 2, ""2"": 1}","{""0"": 1721, ""1"": 2, ""2"": 1}","{""0"": 1720, ""1"": 2}"
1741,2,4,1742,0,2,2,1,6,2,4.00689259047,1.49741972477,6.00115008626,0.999808355692,2.00115008626,0.999425287356,"{""0"": 1738, ""1"": 2, ""2"": 1}","{""0"": 1739, ""1"": 2, ""2"": 1}","{""0"": 1738, ""1"": 2}"
1759,2,4,1760,0,2,2,1,6,2,4.00682205799,1.497446084,6.00113830393,0.999810318665,2.00113830393,0.999431171786,"{""0"": 1756, ""1"": 2, ""2"": 1}","{""0"": 1757, ""1"": 2, ""2"": 1}","{""0"": 1756, ""1"": 2}"
1823,2,4,1824,0,2,2,1,6,2,4.00658255623,1.49753559693,6.00109829764,0.999816983895,2.00109829764,0.99945115258,"{""0"": 1820, ""1"": 2, ""2"": 1}","{""0"": 1821, ""1"": 2, ""2"": 1}","{""0"": 1820, ""1"": 2}"
1831,4,16,1832,0,4,4,1,28,12,16.1310759148,1.73578006501,28.072170585,0.99742910564,12.072170585,0.99402173913,"{""0"": 1818, ""1"": 12, ""4"": 1}","{""0"": 1819, ""1"": 12, ""4"": 1}","{""0"": 1818, ""1"": 12}"
1847,4,16,1848,0,4,4,1,28,12,16.129940444,1.73590225564,28.0715447154,0.997451343837,12.0715447154,0.994073275862,"{""0"": 1834, ""1"": 12, ""4"": 1}","{""0"": 1835, ""1"": 12, ""4"": 1}","{""0"": 1834, ""1"": 12}"
1867,2,4,1868,0,2,2,1,6,2,4.00642742367,1.49759358289,6.00107238606,0.999821300929,2.00107238606,0.999464094319,"{""0"": 1864, ""1"": 2, ""2"": 1}","{""0"": 1865, ""1"": 2, ""2"": 1}","{""0"": 1864, ""1"": 2}"
1873,4,16,1874,0,4,4,1,28,12,16.1281366791,1.73609639831,28.0705505077,0.997486671744,12.0705505077,0.994155154091,"{""0"": 1860, ""1"": 12, ""4"": 1}","{""0"": 1861, ""1"": 12, ""4"": 1}","{""0"": 1860, ""1"": 12}"
1907,2,4,1908,0,2,2,1,6,2,4.00629260619,1.49764397906,6.00104986877,0.999825052484,2.00104986877,0.999475341028,"{""0"": 1904, ""1"": 2, ""2"": 1}","{""0"": 1905, ""1"": 2, ""2"": 1}","{""0"": 1904, ""1"": 2}"
1931,2,4,1932,0,2,2,1,6,2,4.00621439669,1.49767321613,6.00103680664,0.999827228749,2.00103680664,0.999481865285,"{""0"": 1928, ""1"": 2, ""2"": 1}","{""0"": 1929, ""1"": 2, ""2"": 1}","{""0"": 1928, ""1"": 2}"
1933,2,4,1934,0,2,2,1,6,2,4.00620796689,1.49767561983,6.00103573278,0.999827407663,2.00103573278,0.999482401656,"{""0"": 1930, ""1"": 2, ""2"": 1}","{""0"": 1931, ""1"": 2, ""2"": 1}","{""0"": 1930, ""1"": 2}"
1949,2,4,1950,0,2,2,1,6,2,4.00615700359,1.49769467213,6.00102722137,0.999828825745,2.00102722137,0.999486652977,"{""0"": 1946, ""1"": 2, ""2"": 1}","{""0"": 1947, ""1"": 2, ""2"": 1}","{""0"": 1946, ""1"": 2}"
1951,2,4,1952,0,2,2,1,6,2,4.00615069195,1.49769703173,6.00102616727,0.999829001368,2.00102616727,0.999487179487,"{""0"": 1948, ""1"": 2, ""2"": 1}","{""0"": 1949, ""1"": 2, ""2"": 1}","{""0"": 1948, ""1"": 2}"
1973,4,16,1974,0,4,4,1,28,12,16.1216421693,1.73679577465,28.0669710807,0.997613882863,12.0669710807,0.994450050454,"{""0"": 1960, ""1"": 12, ""4"": 1}","{""0"": 1961, ""1"": 12, ""4"": 1}","{""0"": 1960, ""1"": 12}"
