p,Z,zeros,K_sqrt,off_sqrt,total_sqrt,diag_sqrt,task_prediction_sqrt,off_over_task_sqrt,fixed_off_prediction_sqrt,off_over_fixed_sqrt,fixed_total_prediction_sqrt,total_over_fixed_sqrt,K_cuberoot,off_cuberoot,total_cuberoot,diag_cuberoot,task_prediction_cuberoot,off_over_task_cuberoot,fixed_off_prediction_cuberoot,off_over_fixed_cuberoot,fixed_total_prediction_cuberoot,total_over_fixed_cuberoot,E_mult,max_M_k1,max_M_k1_nonidentity,task_mult_prediction_pZ2,E_mult_over_pZ2,occupancy_mult_prediction,E_mult_over_occupancy,fixed_subset_mult_prediction,E_mult_over_fixed_subset,minimum_mult_energy,excess_over_minimum
701,2,101 599,26,0,52,52,55.8573466476,0,1.85979971388,0,53.8597997139,0.96546961326,8,0,16,16,16.365192582,0,0.160228898426,0,16.1602288984,0.990084985836,6,2,1,2804,0.00213980028531,6.00286123033,0.999523355577,6.00286123033,0.999523355577,6,0
709,4,220 321 387 488,26,6,110,104,119.25528914,0.0503122338916,11.0325318246,0.543846153846,115.032531825,0.956251229589,8,0,32,32,33.4442877292,0,0.950495049505,0,32.9504950495,0.971153846154,28,4,1,11344,0.0024682651622,28.1867043847,0.993376154155,28.1188600319,0.995772942724,28,0
733,2,22 710,27,2,56,54,57.9781718963,0.034495740976,1.92065663475,1.04131054131,55.9206566347,1.00141885611,9,0,18,18,18.4420190996,0,0.196990424077,0,18.1969904241,0.989174560217,6,2,1,2932,0.00204638472033,6.00273597811,0.999544211486,6.00273597811,0.999544211486,6,0
751,2,33 717,27,0,54,54,57.8828229028,0,1.87449933244,0,55.8744993324,0.966451612903,9,0,18,18,18.431424767,0,0.192256341789,0,18.1922563418,0.989431968296,6,2,1,3004,0.00199733688415,6.00267022697,0.999555160142,6.00267022697,0.999555160142,6,0
757,2,116 640,27,6,60,54,57.8520475561,0.103712837375,1.85960264901,3.2264957265,55.859602649,1.07412149666,9,2,20,18,18.428005284,0.10853046595,0.190728476821,10.4861111111,18.1907284768,1.0994611912,6,2,1,3028,0.00198150594452,6.00264900662,0.999558693733,6.00264900662,0.999558693733,6,0
761,4,319 342 418 441,27,10,118,108,123.327201051,0.0810851127307,11.0988142292,0.900997150997,119.098814229,0.99077392805,9,0,36,36,37.703022339,0,1.13833992095,0,37.1383399209,0.969348659004,28,4,1,12176,0.00229960578187,28.1739130435,0.993827160494,28.1107137076,0.996061512035,28,0
769,2,272 496,27,2,56,54,57.7919375813,0.0346069033797,1.83050847458,1.09259259259,55.8305084746,1.00303582271,9,0,18,18,18.4213263979,0,0.187744458931,0,18.1877444589,0.989677419355,6,2,1,3076,0.00195058517555,6.00260756193,0.999565595135,6.00260756193,0.999565595135,6,0
787,2,89 697,28,2,58,56,59.9847522236,0.0333418064735,1.92611464968,1.03835978836,57.9261146497,1.0012755102,9,0,18,18,18.4116899619,0,0.183439490446,0,18.1834394904,0.989911727617,6,2,1,3148,0.00190597204574,6.0025477707,0.999575551783,6.0025477707,0.999575551783,6,0
821,4,103 282 538 717,28,4,116,112,127.278928136,0.0314270402695,11.0769230769,0.361111111111,123.076923077,0.9425,9,0,36,36,37.5785627284,0,1.05494505495,0,37.0549450549,0.97153024911,28,4,1,13136,0.00213154689403,28.1611721612,0.994276795005,28.1025999704,0.996349093304,28,0
857,2,371 485,29,2,60,58,61.9253208868,0.032296966271,1.89941520468,1.05295566502,59.8994152047,1.00167922834,9,0,18,18,18.3780630105,0,0.168421052632,0,18.1684210526,0.990730011587,6,2,1,3428,0.00175029171529,6.00233918129,0.999610288387,6.00233918129,0.999610288387,6,0
881,2,67 813,29,4,62,58,61.8183881952,0.0647056663362,1.84755403868,2.16502463054,59.8475540387,1.03596547922,9,0,18,18,18.3677639047,0,0.163822525597,0,18.1638225256,0.990980834273,6,2,1,3524,0.00170261066969,6.00227531286,0.999620924943,6.00227531286,0.999620924943,6,0
887,2,329 557,29,2,60,58,61.7925591883,0.0323663565043,1.83502824859,1.08990147783,59.8350282486,1.00275710994,9,0,18,18,18.365276212,0,0.162711864407,0,18.1627118644,0.991041433371,6,2,1,3548,0.00169109357384,6.00225988701,0.999623493976,6.00225988701,0.999623493976,6,0
907,4,156 407 499 750,30,6,126,120,135.876515987,0.0441577409932,11.5359116022,0.520114942529,131.535911602,0.957913306452,9,0,36,36,37.4288864388,0,0.954696132597,0,36.9546961326,0.974165769645,28,4,1,14512,0.00192943770673,28.1458563536,0.994817839196,28.0928470476,0.996694993304,28,0
911,2,249 661,30,0,60,60,63.951701427,0,1.91419141914,0,61.9141914191,0.96908315565,9,0,18,18,18.3556531284,0,0.158415841584,0,18.1584158416,0.991275899673,6,2,1,3644,0.00164654226125,6.00220022002,0.999633431085,6.00220022002,0.999633431085,6,0
937,2,363 573,30,0,60,60,63.8420490928,0,1.86096256684,0,61.8609625668,0.969917012448,9,0,18,18,18.3457844184,0,0.154010695187,0,18.1540106952,0.991516436903,6,2,1,3748,0.00160085378869,6.00213903743,0.999643620813,6.00213903743,0.999643620813,6,0
947,2,348 598,30,2,62,60,63.8014783527,0.0313472360146,1.84126984127,1.08620689655,61.8412698413,1.00256673511,9,0,18,18,18.3421330517,0,0.152380952381,0,18.1523809524,0.991605456453,6,2,1,3788,0.00158394931362,6.00211640212,0.999647390691,6.00211640212,0.999647390691,6,0
953,2,185 767,30,2,62,60,63.777544596,0.0313589996709,1.82965299685,1.09310344828,61.8296529968,1.00275510204,9,0,18,18,18.3399790136,0,0.15141955836,0,18.1514195584,0.991657977059,6,2,1,3812,0.00157397691501,6.00210304942,0.999649614576,6.00210304942,0.999649614576,6,0
971,2,351 619,31,0,62,62,65.9588053553,0,1.91950464396,0,63.919504644,0.96996996997,9,0,18,18,18.333676622,0,0.148606811146,0,18.1486068111,0.991811668373,6,2,1,3884,0.00154479917611,6.00206398349,0.999656121045,6.00206398349,0.999656121045,6,0
977,2,144 832,31,2,64,62,65.934493347,0.0303331367009,1.90769230769,1.04838709677,63.9076923077,1.00144439095,9,0,18,18,18.3316274309,0,0.147692307692,0,18.1476923077,0.991861648016,6,2,1,3908,0.00153531218014,6.00205128205,0.9996582365,6.00205128205,0.9996582365,6,0
991,2,369 621,31,2,64,62,65.8789101917,0.0303587292835,1.8806875632,1.06344086022,63.8806875632,1.00186773877,9,0,18,18,18.3269424823,0,0.145601617796,0,18.1456016178,0.991975927783,6,2,1,3964,0.00151362260343,6.00202224469,0.999663072776,6.00202224469,0.999663072776,6,0
1009,2,422 586,31,2,64,62,65.8097125867,0.030390650884,1.84707050645,1.08279569892,63.8470705065,1.00239524683,10,0,20,20,20.396432111,0,0.178748758689,0,20.1787487587,0.991141732283,6,2,1,4036,0.00148662041625,6.00198609732,0.999669093316,6.00198609732,0.999669093316,6,0
1049,6,494 504 508 540 544 554,32,22,214,192,227.142040038,0.0968556943325,28.4240687679,0.773991935484,220.424068768,0.970855865225,10,0,60,60,63.4318398475,0,2.5787965616,0,62.5787965616,0.958791208791,66,6,1,37764,0.00174769621862,66.8309455587,0.987566455153,66.6020482308,0.990960514778,66,0
1069,6,196 459 502 566 609 872,32,18,210,192,226.484565014,0.0794756145916,27.8912839738,0.645362903226,219.891283974,0.955017389525,10,0,60,60,63.3676333022,0,2.53045923149,0,62.5304592315,0.959532374101,66,6,1,38484,0.00171499844091,66.8153701968,0.987796667228,66.5907572898,0.991128539248,66,0
1087,2,77 1009,32,6,70,64,67.7681692732,0.088537141616,1.82857142857,3.28125,65.8285714286,1.06336805556,10,2,22,20,20.3679852806,0.0981933152665,0.165898617512,12.0555555556,20.1658986175,1.09095063985,6,2,1,4348,0.00137994480221,6.00184331797,0.999692874693,6.00184331797,0.999692874693,6,0
1097,2,200 896,33,0,66,66,69.9708295351,0,1.92876712329,0,67.9287671233,0.971606033718,10,0,20,20,20.3646308113,0,0.164383561644,0,20.1643835616,0.991847826087,6,2,1,4388,0.00136736554239,6.00182648402,0.999695678637,6.00182648402,0.999695678637,6,0
1117,2,284 832,33,0,66,66,69.8997314235,0,1.89417040359,0,67.8941704036,0.972101133391,10,0,20,20,20.3581020591,0,0.161434977578,0,20.1614349776,0.991992882562,6,2,1,4468,0.00134288272158,6.00179372197,0.999701135684,6.00179372197,0.999701135684,6,0
1129,4,98 285 843 1030,33,8,140,132,147.433126661,0.0542618893134,11.2440106477,0.71148989899,143.244010648,0.97735325454,10,0,40,40,41.4171833481,0,0.958296362023,0,40.958296362,0.976603119584,28,4,1,18064,0.00155004428698,28.1171251109,0.995834385256,28.0745530908,0.997344460282,28,0
1153,2,216 936,33,4,70,66,69.7779705117,0.0573246824272,1.83492615117,2.17992424242,67.8349261512,1.03191680115,10,0,20,20,20.3469210755,0,0.15638575152,0,20.1563857515,0.99224137931,6,2,1,4612,0.00130095403296,6.00173761946,0.999710480602,6.00173761946,0.999710480602,6,0
1193,2,446 746,34,0,68,68,71.8759430008,0,1.88413098237,0,69.8841309824,0.973039215686,10,0,20,20,20.3352891869,0,0.151133501259,0,20.1511335013,0.9925,6,2,1,4772,0.00125733445096,6.00167926113,0.999720201455,6.00167926113,0.999720201455,6,0
1201,2,576 624,34,4,72,68,71.8501248959,0.0556714411533,1.87155963303,2.13725490196,69.871559633,1.03046218487,10,0,20,20,20.3330557868,0,0.150125104254,0,20.1501251043,0.992549668874,6,2,1,4804,0.00124895920067,6.00166805671,0.999722067815,6.00166805671,0.999722067815,6,0
1213,2,58 1154,34,0,68,68,71.8120362737,0,1.85301403799,0,69.853014038,0.97347266881,10,0,20,20,20.3297609233,0,0.148637489678,0,20.1486374897,0.99262295082,6,2,1,4852,0.00123660346249,6.00165152766,0.999724821134,6.00165152766,0.999724821134,6,0
1217,2,22 1194,34,2,70,68,71.7995069844,0.0278553444724,1.84691358025,1.08288770053,69.8469135802,1.00219174208,10,0,20,20,20.3286770748,0,0.148148148148,0,20.1481481481,0.992647058824,6,2,1,4868,0.0012325390304,6.00164609053,0.999725726824,6.00164609053,0.999725726824,6,0
1229,2,544 684,35,0,70,70,73.9869812856,0,1.93969030155,0,71.9396903015,0.973037272006,10,0,20,20,20.32546786,0,0.146699266504,0,20.1466992665,0.992718446602,6,2,1,4916,0.00122050447518,6.00162999185,0.999728408474,6.00162999185,0.999728408474,6,0
1259,2,97 1161,35,0,70,70,73.8919777601,0,1.89339697693,0,71.8933969769,0.973663826491,10,0,20,20,20.3177124702,0,0.143198090692,0,20.1431980907,0.992890995261,6,2,1,5036,0.0011914217633,6.0015910899,0.999734888653,6.0015910899,0.999734888653,6,0
1297,4,459 530 766 837,36,12,156,144,159.98766384,0.0750057830211,11.6756756757,1.02777777778,155.675675676,1.00208333333,10,0,40,40,41.233616037,0,0.833976833977,0,40.833976834,0.979576399395,28,4,1,20752,0.00134926754048,28.1019305019,0.996372829193,28.0648791981,0.99768824239,28,0
1381,2,277 1103,37,0,74,74,77.9652425778,0,1.9318346628,0,75.9318346628,0.974558303887,11,0,22,22,22.3504706734,0,0.159535895577,0,22.1595358956,0.992800575954,6,2,1,5524,0.00108616944243,6.00145032632,0.999758337361,6.00145032632,0.999758337361,6,0
1427,2,346 1080,37,0,74,74,77.8374211633,0,1.86947368421,0,75.8694736842,0.975359342916,11,0,22,22,22.3391730904,0,0.154385964912,0,22.1543859649,0.993031358885,6,2,1,5708,0.0010511562719,6.00140350877,0.999766136576,6.00140350877,0.999766136576,6,0
1433,2,416 1016,37,2,76,74,77.8213538032,0.0256998870138,1.86163522013,1.07432432432,75.8616352201,1.0018239098,11,0,22,22,22.3377529658,0,0.153738644305,0,22.1537386443,0.99306037474,6,2,1,5732,0.00104675505932,6.00139762404,0.999767116907,6.00139762404,0.999767116907,6,0
1447,2,438 1008,38,4,80,76,79.99170698,0.0500051836749,1.94602076125,2.05547652916,77.9460207612,1.02635130336,11,0,22,22,22.3344851417,0,0.152249134948,0,22.1522491349,0.993127147766,6,2,1,5788,0.00103662750518,6.00138408304,0.999769372694,6.00138408304,0.999769372694,6,0
1453,2,272 1180,38,8,84,76,79.9752236752,0.100030980001,1.93797381116,4.1280227596,77.9379738112,1.07778013582,11,2,24,22,22.3331039229,0.0895531587057,0.151619572708,13.1909090909,22.1516195727,1.08344222513,6,2,1,5812,0.00103234686855,6.00137835975,0.999770326137,6.00137835975,0.999770326137,6,0
1471,2,76 1394,38,0,76,76,79.9265805574,0,1.91422736555,0,77.9142273656,0.975431606906,11,0,22,22,22.3290278722,0,0.149761742682,0,22.1497617427,0.99323867478,6,2,1,5884,0.00101971447995,6.00136147039,0.999773139746,6.00136147039,0.999773139746,6,0
1487,2,104 1382,38,2,78,76,79.8843308675,0.0250361989427,1.8936026936,1.05618776671,77.8936026936,1.00136593125,11,0,22,22,22.3254875588,0,0.148148148148,0,22.1481481481,0.993311036789,6,2,1,5948,0.00100874243443,6.00134680135,0.999775583483,6.00134680135,0.999775583483,6,0
1489,2,437 1051,38,4,80,76,79.879113499,0.0500756684042,1.89105581708,2.11522048364,77.8910558171,1.02707556292,11,0,22,22,22.3250503694,0,0.147948890383,0,22.1479488904,0.99331997328,6,2,1,5956,0.00100738750839,6.00134498991,0.999775885253,6.00134498991,0.999775885253,6,0
