p,zp_size
11083,2
11087,2
11093,0
11113,2
11117,2
11119,0
11131,0
11149,0
11159,0
11161,0
11171,2
11173,0
11177,0
11197,0
11213,4
11239,0
11243,4
11251,2
11257,0
11261,2
11273,4
11279,2
11287,4
11299,0
11311,0
11317,4
11321,0
11329,0
11351,0
11353,0
11369,2
11383,2
11393,0
11399,0
11411,0
11423,2
11437,2
11443,2
11447,4
11467,2
11471,0
11483,0
11489,0
11491,0
11497,0
11503,0
11519,4
11527,0
11549,4
11551,2
11579,0
11587,0
11593,0
11597,2
11617,0
11621,0
11633,0
11657,2
11677,4
11681,0
11689,0
11699,0
11701,2
11717,0
11719,0
11731,2
11743,2
11777,0
11779,0
11783,0
11789,0
11801,0
11807,0
11813,0
11821,2
11827,0
11831,0
11833,4
11839,2
11863,0
11867,0
11887,4
11897,0
11903,2
11909,0
11923,0
11927,0
11933,0
11939,4
11941,0
11953,0
11959,2
11969,0
11971,6
11981,2
11987,0
12007,0
12011,0
12037,0
12041,0
12043,2
12049,2
12071,0
12073,0
12097,0
12101,2
12107,0
12109,2
12113,0
12119,2
12143,0
12149,2
12157,0
12161,0
12163,0
12197,0
12203,0
12211,2
12227,0
12239,2
12241,2
12251,0
12253,4
12263,0
12269,2
12277,2
12281,2
12289,0
12301,2
12323,0
12329,2
12343,2
12347,0
12373,0
12377,0
12379,2
12391,0
12401,4
12409,2
12413,2
12421,4
12433,0
12437,0
12451,4
12457,2
12473,0
12479,0
12487,0
12491,0
12497,4
12503,0
12511,0
12517,0
12527,0
12539,4
12541,4
12547,2
12553,0
12569,0
12577,0
12583,0
12589,0
12601,2
12611,0
12613,4
12619,4
12637,0
12641,2
12647,0
12653,0
12659,0
12671,0
12689,2
12697,0
12703,0
12713,2
12721,2
12739,2
12743,0
12757,2
12763,0
12781,2
12791,0
12799,0
12809,2
12821,0
12823,2
12829,0
12841,0
12853,0
12889,0
12893,2
12899,0
12907,2
12911,0
12917,0
12919,0
12923,0
12941,0
12953,0
12959,0
12967,0
12973,2
12979,2
12983,0
13001,2
13003,0
13007,0
13009,2
13033,2
13037,0
13043,2
13049,2
13063,0
13093,0
13099,0
13103,0
13109,2
13121,0
13127,0
13147,0
13151,0
13159,0
13163,4
13171,2
13177,2
13183,0
13187,0
13217,6
13219,2
13229,2
13241,0
13249,0
13259,2
13267,0
13291,2
13297,4
13309,2
13313,0
13327,2
13331,0
13337,0
13339,0
13367,0
13381,2
13397,2
13399,0
13411,0
13417,2
13421,0
13441,0
13451,2
13457,0
13463,8
13469,4
13477,2
13487,2
13499,0
13513,2
13523,4
13537,0
13553,0
13567,4
13577,0
13591,0
13597,0
13613,2
13619,0
13627,2
13633,0
13649,0
13669,2
13679,0
13681,0
13687,0
13691,0
13693,0
13697,2
13709,2
13711,6
13721,0
13723,0
13729,6
13751,0
13757,4
13759,4
13763,0
13781,0
13789,2
13799,0
13807,0
13829,2
13831,0
13841,0
13859,0
13873,4
13877,0
13879,0
13883,2
13901,2
13903,4
13907,0
13913,0
13921,2
13931,0
13933,0
13963,0
13967,2
13997,2
13999,0
14009,0
14011,0
14029,0
14033,2
14051,2
14057,2
14071,0
14081,0
14083,0
14087,2
14107,0
14143,0
14149,0
14153,0
14159,0
14173,0
14177,0
14197,0
14207,0
14221,0
14243,2
14249,0
14251,4
14281,0
14293,0
14303,0
14321,0
14323,2
14327,0
14341,0
14347,0
14369,2
14387,0
14389,2
14401,4
14407,2
14411,2
14419,6
14423,0
14431,0
14437,2
14447,0
14449,2
14461,2
14479,2
14489,0
14503,2
14519,2
14533,0
14537,6
14543,4
14549,2
14551,2
14557,2
14561,0
14563,0
14591,0
14593,2
14621,2
14627,0
14629,0
14633,0
14639,0
14653,4
14657,0
14669,0
14683,2
14699,0
14713,0
14717,0
14723,4
14731,2
14737,0
14741,0
14747,2
14753,2
14759,2
14767,0
14771,2
14779,0
14783,0
14797,2
14813,2
14821,0
14827,0
14831,2
14843,0
14851,2
14867,2
14869,0
14879,0
14887,0
14891,4
14897,2
14923,0
14929,0
14939,0
14947,0
14951,4
14957,2
14969,4
14983,0
15013,0
15017,0
15031,0
15053,0
15061,2
15073,0
15077,0
15083,2
15091,0
15101,2
15107,2
15121,0
15131,0
15137,0
15139,0
15149,0
15161,0
15173,2
15187,0
15193,0
15199,2
15217,2
15227,0
15233,2
15241,0
15259,0
