q	t	sign	n6	nOther	rawGcdBits	rawGcdSha256	qVal	qFreeGcd	primitiveGcd	factors	omega	rawWindow	m5Capable	rawLeaves	assignedLeaves	sizeCertified	thresholdRatio
15377	8998	-	101260	6378	23	61c984cf3ada8fee7faefd812eea46fc96faa5156223d8d7eb1f97a0636d6405	1	425	17	17	1	false	false	0	0	true	NA
15383	6590	+	98888	191186	24	a7d2fc8136d0d7faeee7ede930c13b7efe7e8d82a33bf9a27ac214c3187a1456	1	625	1	1	0	true	false	0	0	true	0.00000000000000
15383	6590	-	98888	8792	23	bfc10b2c560193e303207a156c1cf1a13e2a00fea28f18e576ca9270a77fdf71	1	425	17	17	1	false	false	0	0	true	NA
15383	8792	+	101090	193388	28	d5c4def86c0cbe17e5c20321ee7688f3c8572432644d7c62c696373d6cb4eda3	1	10625	1	1	0	true	false	0	0	true	0.00000000000000
15383	8792	-	101090	6590	29	6ffbece866b88e20f2bca5b4ab9744528707847a3dd075f2c780b96fee9fd1e3	1	23375	187	11*17	2	false	false	0	0	true	NA
15413	2081	+	94559	187037	39	7993c62bb2d08a0419607514a7231751726b9e7992bdc2fde2be88b59adf1308	1	23959375	451	11*41	2	true	false	0	0	true	0.321270398866292
15413	2081	-	94559	13331	30	699ef188a4fb8e4cca7194a727fc0df73f45aa5a76f7c9b72b2a20743f83cb11	1	53125	17	17	1	false	false	0	0	true	NA
15413	13331	+	105809	198287	29	5e1a51af3440f43072cfd4dba06954009904eb056abf6f4c50f72aed39879911	1	34375	11	11	1	true	false	0	0	true	0.124581005416764
15413	13331	-	105809	2081	30	d1f053b774890793e18ebbd7e162662b1f4888b427db47963095ed40c173d138	1	59375	19	19	1	false	false	0	0	true	NA
15439	2185	+	94819	187453	37	7f68910ebd12ce838b097ce7a971bd53a61aa88214850fc9e8b2ec44e1a21b41	1	7946875	2543	2543	1	true	false	0	0	true	0.412066451389642
15439	2185	-	94819	13253	25	2d5cba9068e3ad8081bb0e0dfd72e14e85f3bb084d8efdb4a82503b9419de569	1	1375	11	11	1	false	false	0	0	true	NA
15439	13253	+	105887	198521	21	e900424a49b3db158c7d18cce4f3c557a7e4e214ea178e0e6beb1e9d6d57531f	1	125	1	1	0	true	false	0	0	true	0.00000000000000
15439	13253	-	105887	2185	22	4bb5bb0c02e37ad437889eb007623eeb96750d532460d9112e207343be654d08	1	155	31	31	1	false	false	0	0	true	NA
15443	2302	+	94960	187618	19	c7d338a77a67058ceede91e5b8062bd419526f17bd2044e5aae7f68ae3baa8d8	1	25	1	1	0	true	false	0	0	true	0.00000000000000
15443	2302	-	94960	13140	19	c7d338a77a67058ceede91e5b8062bd419526f17bd2044e5aae7f68ae3baa8d8	1	25	1	1	0	false	false	0	0	true	NA
15443	13140	+	105798	198456	32	09d7f2fd303a61fad4e43837a491660c0628b106ef9f24d897f8311beb3172f3	1	171875	11	11	1	true	false	0	0	true	0.124581005416764
