sign,q,t,p,r,a_plus,a_minus,raw_plus,raw_minus,Zq,selected,nearest_zero,linear,cyclic,scaled_A
-,1468741,97125,1359427,753009,-1,12188,0,1,2,0,597333,500208,500208,1.36228
+,1476529,363070,1340617,1178542,653397,-1,1,0,2,0,552429,189359,189359,0.512984
-,1477843,8358,1277233,1212018,-1,192251,0,1,2,0,544227,535869,535869,1.45041
-,1487113,7525,1301527,1121041,-1,178060,0,1,0,0,-1,-1,-1,-1
-,1487599,47117,1358881,819425,-1,81600,0,1,0,0,-1,-1,-1,-1
+,1490161,120323,1363673,879251,274506,-1,1,0,0,0,-1,-1,-1,-1
+,1490161,330238,1363673,1089166,484421,-1,1,0,0,0,-1,-1,-1,-1
+,1495511,607302,1376003,1324350,665395,-1,1,0,2,0,473377,133925,133925,0.358205
-,1499231,22670,1342087,965534,-1,134473,0,1,0,0,-1,-1,-1,-1
+,1499551,175408,1315451,1280008,1069157,-1,1,0,2,0,229462,54054,54054,0.144187
+,1505681,643986,1432511,1083006,89515,-1,1,0,0,0,-1,-1,-1,-1
+,1505681,903975,1432511,1342995,349504,-1,1,0,0,0,-1,-1,-1,-1
-,1509581,12026,1331821,1078586,-1,165733,0,1,0,0,-1,-1,-1,-1
-,1510039,73128,1381229,845988,-1,55681,0,1,2,0,197726,124598,124598,0.330052
-,1514783,64540,1331989,1161304,-1,118253,0,1,2,0,653909,589369,589369,1.55631
+,1517317,279989,1362017,1211789,781572,-1,1,0,0,0,-1,-1,-1,-1
+,1519159,361188,1385191,1164996,583613,-1,1,0,0,0,-1,-1,-1,-1
+,1521901,245966,1399213,982094,319009,-1,1,0,0,0,-1,-1,-1,-1
+,1521901,344075,1399213,1080203,417118,-1,1,0,0,0,-1,-1,-1,-1
-,1522253,116146,1403239,830230,-1,2867,0,1,0,0,-1,-1,-1,-1
+,1529149,227006,1362223,1228562,867895,-1,1,0,0,0,-1,-1,-1,-1
+,1533139,511655,1390283,1368791,835644,-1,1,0,2,0,52344,459311,459311,1.19835
+,1534051,360876,1420511,1042116,302845,-1,1,0,2,0,23058,337818,337818,1.7617
+,1534051,436425,1420511,1117665,378394,-1,1,0,2,0,23058,413367,413367,2.15569
+,1536487,15594,1351543,1125258,883379,-1,1,0,2,0,590127,574533,574533,1.49571
-,1537411,66518,1438097,662402,-1,32795,0,1,0,0,-1,-1,-1,-1
+,1538167,137834,1424959,817082,71371,-1,1,0,0,0,-1,-1,-1,-1
+,1538167,674339,1424959,1353587,607876,-1,1,0,0,0,-1,-1,-1,-1
-,1538261,101261,1339003,1296809,-1,97996,0,1,2,0,487555,386294,386294,1.0045
+,1545539,596565,1472467,1034997,962,-1,1,0,2,0,25438,571127,571127,2.95626
+,1545539,1033072,1472467,1471504,437469,-1,1,0,2,0,1520100,487028,487028,2.52095
+,1548623,284779,1437031,954331,186852,-1,1,0,0,0,-1,-1,-1,-1
+,1548623,580626,1437031,1250178,482699,-1,1,0,0,0,-1,-1,-1,-1
+,1551133,714781,1468553,1210261,237188,-1,1,0,0,0,-1,-1,-1,-1
+,1551133,735884,1468553,1231364,258291,-1,1,0,0,0,-1,-1,-1,-1
-,1553561,56163,1420207,856287,-1,77190,0,1,0,0,-1,-1,-1,-1
+,1563253,444244,1455439,1091128,282573,-1,1,0,0,0,-1,-1,-1,-1
+,1563253,525981,1455439,1172865,364310,-1,1,0,0,0,-1,-1,-1,-1
+,1570237,73775,1384309,1189343,920602,-1,1,0,0,0,-1,-1,-1,-1
-,1576501,18079,1482583,581587,-1,75838,0,1,6,0,611102,593023,593023,4.51397
+,1579313,540560,1485733,1102040,177787,-1,1,0,2,0,37965,502595,502595,2.54589
+,1579313,746465,1485733,1307945,383692,-1,1,0,2,0,37965,708500,708500,3.5889
+,1597331,217163,1407053,1358831,1093446,-1,1,0,2,0,65701,151462,151462,0.379288
+,1610149,59608,1427681,1154416,821543,-1,1,0,2,0,66768,7160,7160,0.0177872
+,1611917,283875,1430279,1373703,1033252,-1,1,0,0,0,-1,-1,-1,-1
+,1616623,922427,1551943,1310507,146644,-1,1,0,0,0,-1,-1,-1,-1
+,1616623,1017218,1551943,1405298,241435,-1,1,0,0,0,-1,-1,-1,-1
+,1625483,47922,1408999,1346826,1236731,-1,1,0,2,0,377868,329946,329946,0.811933
+,1626503,462669,1514231,1136301,295702,-1,1,0,0,0,-1,-1,-1,-1
+,1626503,544896,1514231,1218528,377929,-1,1,0,0,0,-1,-1,-1,-1
+,1635971,45423,1502689,845115,142118,-1,1,0,0,0,-1,-1,-1,-1
+,1635971,560878,1502689,1360570,657573,-1,1,0,0,0,-1,-1,-1,-1
+,1638569,249260,1444481,1413788,1133835,-1,1,0,0,0,-1,-1,-1,-1
+,1649287,463502,1544201,1094018,180333,-1,1,0,0,0,-1,-1,-1,-1
