sign,q,t,p,r,a_plus,a_minus,raw_plus,raw_minus,Zq,selected,nearest_zero,linear,cyclic,scaled_A
+,9890663,276600,9109577,4963116,540055,-1,1,0,0,0,-1,-1,-1,-1
+,9890663,3883005,9109577,8569521,4146460,-1,1,0,0,0,-1,-1,-1,-1
+,9907349,711917,9125887,5400689,963574,-1,1,0,2,0,3113963,2402046,2402046,1.93961
+,9907349,3473540,9125887,8162312,3725197,-1,1,0,2,0,3113963,359577,359577,0.290352
+,9911857,901190,9056233,6034934,2112445,-1,1,0,0,0,-1,-1,-1,-1
+,9911857,1810043,9056233,6943787,3021298,-1,1,0,0,0,-1,-1,-1,-1
-,9915911,103712,8974429,5752604,-1,837769,0,1,2,0,2111971,2008259,2008259,0.810116
+,9920111,1209959,9144259,5865071,1375924,-1,1,0,2,0,3740096,2530137,2530137,2.04041
+,9920111,3113222,9144259,7768334,3279187,-1,1,0,2,0,3740096,626874,626874,0.505538
+,9924493,541732,8618591,8377144,7593965,-1,1,0,0,0,-1,-1,-1,-1
+,9931379,304911,8973863,6050007,2821240,-1,1,0,2,0,2428401,2123490,2123490,2.56579
+,9931379,407526,8973863,6152622,2923855,-1,1,0,2,0,2428401,2020875,2020875,2.44181
-,9931379,961776,8862173,7377012,-1,107429,0,1,2,0,2428401,1466625,1466625,1.77211
-,9932521,93111,8640241,7846791,-1,1199168,0,1,0,0,-1,-1,-1,-1
+,9941089,2275626,9223519,6581046,1662947,-1,1,0,8,0,3777858,1502232,1502232,4.83563
+,9941089,3255151,9223519,7560571,2642472,-1,1,0,8,0,3777858,522707,522707,1.68257
+,9950201,275695,8781511,7287835,5518464,-1,1,0,0,0,-1,-1,-1,-1
+,9956503,2005571,9294821,5975663,650934,-1,1,0,0,0,-1,-1,-1,-1
+,9956503,4673794,9294821,8643886,3319157,-1,1,0,0,0,-1,-1,-1,-1
+,9998033,2165463,9032719,7957347,4716512,-1,1,0,0,0,-1,-1,-1,-1
+,10000763,2161686,9043817,7903362,4601221,-1,1,0,2,0,4821991,2660305,2660305,1.06404
+,10005143,2630235,8996083,8684595,5742872,-1,1,0,2,0,1742243,887992,887992,0.355014
+,10011697,5436388,9636337,7688548,304371,-1,1,0,0,0,-1,-1,-1,-1
+,10011697,7079805,9636337,9331965,1947788,-1,1,0,0,0,-1,-1,-1,-1
+,10026103,6700781,9708187,8608277,807586,-1,1,0,0,0,-1,-1,-1,-1
+,10026103,6993104,9708187,8900600,1099909,-1,1,0,0,0,-1,-1,-1,-1
+,10027051,1668781,9080417,7348585,3947972,-1,1,0,0,0,-1,-1,-1,-1
+,10031911,1885606,9236783,6656374,2190359,-1,1,0,0,0,-1,-1,-1,-1
+,10031911,2275655,9236783,7046423,2580408,-1,1,0,0,0,-1,-1,-1,-1
+,10032017,1102291,9042433,7039795,3934866,-1,1,0,0,0,-1,-1,-1,-1
-,10038139,758293,9026581,6827641,-1,253264,0,1,6,0,346752,411541,411541,0.491973
+,10038797,627960,9256561,5321376,758231,-1,1,0,0,0,-1,-1,-1,-1
+,10038797,3804913,9256561,8498329,3935184,-1,1,0,0,0,-1,-1,-1,-1
-,10045207,483142,9209117,5499682,-1,352947,0,1,4,0,1788442,1305300,1305300,1.03954
-,10049267,44523,8915143,6849267,-1,1089600,0,1,0,0,-1,-1,-1,-1
-,10049717,560276,9240989,5412644,-1,248451,0,1,0,0,-1,-1,-1,-1
-,10053997,13433,9817867,1430213,-1,222696,0,1,2,0,4880592,4867159,4867159,1.93641
+,10057501,2385049,8971751,8899549,6442298,-1,1,0,2,0,1130124,1254925,1254925,0.4991
-,10066141,447281,8950339,7142093,-1,668520,0,1,0,0,-1,-1,-1,-1
+,10070663,1653094,9236783,6656374,2422871,-1,1,0,0,0,-1,-1,-1,-1
+,10070663,1810631,9236783,6813911,2580408,-1,1,0,0,0,-1,-1,-1,-1
+,10071307,2458896,9346657,6806796,1808039,-1,1,0,0,0,-1,-1,-1,-1
+,10071307,3190717,9346657,7538617,2539860,-1,1,0,0,0,-1,-1,-1,-1
-,10071617,291196,9327361,4756732,-1,453059,0,1,2,0,2349662,2058466,2058466,0.817531
+,10077097,1931881,8929873,8815225,6768696,-1,1,0,0,0,-1,-1,-1,-1
-,10080179,311312,9533429,3591812,-1,235437,0,1,0,0,-1,-1,-1,-1
-,10082663,764616,8909387,7804272,-1,408659,0,1,2,0,3034163,2269547,2269547,0.900376
+,10086599,1340300,9399239,5464460,189381,-1,1,0,2,0,3025971,1685671,1685671,1.33696
+,10086599,5085697,9399239,9209857,3934778,-1,1,0,2,0,7060627,1974930,1974930,1.56638
+,10099823,1326268,9353867,5802004,923873,-1,1,0,0,0,-1,-1,-1,-1
+,10099823,3954257,9353867,8429993,3551862,-1,1,0,0,0,-1,-1,-1,-1
+,10117957,371985,8895013,7709649,6152300,-1,1,0,0,0,-1,-1,-1,-1
-,10121833,62698,9004343,6767638,-1,1054791,0,1,0,0,-1,-1,-1,-1
-,10122913,370260,9565579,3714264,-1,187073,0,1,0,0,-1,-1,-1,-1
+,10123387,1787685,9157693,7581849,4218320,-1,1,0,0,0,-1,-1,-1,-1
+,10124287,925021,9144313,6804865,3540396,-1,1,0,6,0,893476,31545,31545,0.0373893
+,10129129,652640,8924731,7879028,6180685,-1,1,0,0,0,-1,-1,-1,-1
+,10139291,2811754,9514151,6562594,799283,-1,1,0,4,0,4332044,1520290,1520290,2.39905
+,10139291,4964027,9514151,8714867,2951556,-1,1,0,4,0,4332044,631983,631983,0.997282
+,10152347,4422993,9598637,7745253,1468876,-1,1,0,2,0,3353641,1069352,1069352,0.842644
+,10152347,4807500,9598637,8129760,1853383,-1,1,0,2,0,3353641,1453859,1453859,1.14563
+,10152641,4121566,9562247,7663930,1644047,-1,1,0,0,0,-1,-1,-1,-1
+,10152641,4375835,9562247,7918199,1898316,-1,1,0,0,0,-1,-1,-1,-1
-,10152943,358685,9278921,5602817,-1,515336,0,1,0,0,-1,-1,-1,-1
+,10155151,543107,9121627,6744251,3823768,-1,1,0,4,0,892139,349032,349032,0.27496
+,10157999,1915766,9106813,8222882,5423185,-1,1,0,0,0,-1,-1,-1,-1
-,10158013,159046,9193843,5944066,-1,805123,0,1,2,0,2584294,2425248,2425248,0.955009
+,10172819,3498013,9571267,7107325,1145370,-1,1,0,2,0,775276,2722737,2722737,2.14119
+,10172819,4816584,9571267,8425896,2463941,-1,1,0,2,0,775276,4041308,4041308,3.17812
+,10173433,370326,8778241,8741478,8334389,-1,1,0,0,0,-1,-1,-1,-1
-,10174429,190505,8761157,8670137,-1,1222766,0,1,0,0,-1,-1,-1,-1
+,10183219,2941201,9591949,6488821,444492,-1,1,0,2,0,3188794,247593,247593,0.194511
+,10183219,5599836,9591949,9147456,3103127,-1,1,0,2,0,6994424,1394588,1394588,1.0956
+,10200769,829183,9100109,7433143,4936994,-1,1,0,0,0,-1,-1,-1,-1
-,10203103,360476,9637637,3753272,-1,204989,0,1,0,0,-1,-1,-1,-1
-,10209209,204945,9219263,6144621,-1,785000,0,1,0,0,-1,-1,-1,-1
+,10210561,1262444,9116111,7829144,5279733,-1,1,0,4,0,2020884,758440,758440,0.59424
+,10211909,5698542,9791423,8221458,952951,-1,1,0,2,0,6198421,499879,499879,0.391605
+,10211909,6315555,9791423,8838471,1569964,-1,1,0,2,0,6198421,117134,117134,0.0917627
-,10216229,386637,9321569,5754597,-1,508022,0,1,0,0,-1,-1,-1,-1
+,10219639,4160796,9717749,7172136,465727,-1,1,0,2,0,1585729,2575067,2575067,2.01578
+,10219639,6240681,9717749,9252021,2545612,-1,1,0,2,0,8633909,2393228,2393228,1.87343
+,10221877,3218306,9359929,8389994,4201753,-1,1,0,0,0,-1,-1,-1,-1
-,10226989,585836,9407929,5500196,-1,233223,0,1,2,0,3925570,3339734,3339734,1.30624
+,10234981,1502709,9090259,8371041,6149114,-1,1,0,0,0,-1,-1,-1,-1
+,10239227,813461,9154927,7319261,4670134,-1,1,0,4,0,3071075,2257614,2257614,1.76389
+,10244089,753952,8951857,8507344,7308879,-1,1,0,2,0,2788354,2034402,2034402,0.794371
-,10247117,467105,8981597,8060225,-1,798414,0,1,2,0,1812465,1345360,1345360,0.525166
+,10251973,2035502,9601367,5939138,241407,-1,1,0,0,0,-1,-1,-1,-1
+,10251973,5456323,9601367,9359959,3662228,-1,1,0,0,0,-1,-1,-1,-1
-,10261513,754115,8915681,8829107,-1,591716,0,1,0,0,-1,-1,-1,-1
+,10272851,2295331,9624943,6182779,445284,-1,1,0,2,0,1199065,1096266,1096266,0.853719
+,10272851,5292210,9624943,9179658,3442163,-1,1,0,2,0,9073785,3781575,3781575,2.94491
-,10274057,421968,9781697,3376128,-1,70391,0,1,4,0,671113,249145,249145,0.193999
+,10276349,6311508,9952589,8254068,244039,-1,1,0,0,0,-1,-1,-1,-1
+,10276349,7765989,9952589,9708549,1698520,-1,1,0,0,0,-1,-1,-1,-1
+,10288379,1406412,9165883,8141388,5710481,-1,1,0,2,0,719191,687221,687221,0.267183
-,10296029,987167,9285929,7047767,-1,22932,0,1,0,0,-1,-1,-1,-1
-,10304813,79786,9610577,4245202,-1,614449,0,1,0,0,-1,-1,-1,-1
-,10305271,610811,9018071,8334011,-1,676388,0,1,0,0,-1,-1,-1,-1
+,10306357,324283,9459809,5403571,1023050,-1,1,0,0,0,-1,-1,-1,-1
+,10306357,3357470,9459809,8436758,4056237,-1,1,0,0,0,-1,-1,-1,-1
+,10307251,2984134,9398579,8436166,4489619,-1,1,0,0,0,-1,-1,-1,-1
+,10319117,2494385,9552239,7095653,2144682,-1,1,0,0,0,-1,-1,-1,-1
+,10319117,2806288,9552239,7407556,2456585,-1,1,0,0,0,-1,-1,-1,-1
+,10344907,1652536,9559841,6362932,1513487,-1,1,0,2,0,741842,910694,910694,0.704265
+,10344907,3335957,9559841,8046353,3196908,-1,1,0,2,0,741842,2594115,2594115,2.0061
-,10347839,161350,9873937,3004762,-1,312551,0,1,0,0,-1,-1,-1,-1
+,10360183,1200215,9571997,5929331,1086450,-1,1,0,0,0,-1,-1,-1,-1
+,10360183,3756430,9571997,8485546,3642665,-1,1,0,0,0,-1,-1,-1,-1
+,10363499,3441285,9407929,9174705,5500196,-1,1,0,0,0,-1,-1,-1,-1
-,10373479,310388,9006971,8509436,-1,1056119,0,1,0,0,-1,-1,-1,-1
+,10374761,3973468,9465347,9429952,5421089,-1,1,0,0,0,-1,-1,-1,-1
+,10375153,3838074,9489773,9150354,4972861,-1,1,0,0,0,-1,-1,-1,-1
-,10380121,774296,9177043,7992764,-1,428781,0,1,0,0,-1,-1,-1,-1
+,10383343,1592347,9561551,6523099,1892300,-1,1,0,6,0,1584791,7556,7556,0.0174649
+,10383343,2738498,9561551,7669250,3038451,-1,1,0,6,0,2544513,193985,193985,0.448376
-,10412447,43604,10270301,896480,-1,98541,0,1,0,0,-1,-1,-1,-1
+,10414379,408625,9126203,8137681,6740534,-1,1,0,2,0,1336274,927649,927649,0.356295
+,10420903,3319223,9461833,9073643,5366230,-1,1,0,0,0,-1,-1,-1,-1
+,10426093,1337667,9528613,6722547,2578814,-1,1,0,2,0,1580541,242874,242874,0.186359
+,10426093,1564918,9528613,6949798,2806065,-1,1,0,2,0,1580541,15623,15623,0.0119876
-,10433279,555010,9782783,4457986,-1,95485,0,1,2,0,917005,361995,361995,0.138785
+,10443943,3498800,9898117,6773756,150595,-1,1,0,2,0,1870991,1627809,1627809,1.24689
+,10443943,6472565,9898117,9747521,3124360,-1,1,0,2,0,8572951,2100386,2100386,1.60888
+,10444403,3401054,9893087,6708950,123759,-1,1,0,0,0,-1,-1,-1,-1
+,10444403,6461431,9893087,9769327,3184136,-1,1,0,0,0,-1,-1,-1,-1
+,10445471,3528621,9766637,7601625,1907992,-1,1,0,2,0,3692523,163902,163902,0.12553
+,10445471,3785640,9766637,7858644,2165011,-1,1,0,2,0,3692523,93117,93117,0.0713167
-,10458337,444304,9240131,7753540,-1,773901,0,1,2,0,3655337,3211033,3211033,1.22812
+,10466381,884981,9565579,6289793,2129026,-1,1,0,0,0,-1,-1,-1,-1
+,10466381,2031740,9565579,7436552,3275785,-1,1,0,0,0,-1,-1,-1,-1
+,10470587,6648258,10119323,8755842,744103,-1,1,0,2,0,5455124,1193134,1193134,0.911608
+,10470587,7267635,10119323,9375219,1363480,-1,1,0,2,0,5455124,1812511,1812511,1.38484
+,10479199,4298424,9961687,7403496,546881,-1,1,0,0,0,-1,-1,-1,-1
+,10479199,6309733,9961687,9414805,2558190,-1,1,0,0,0,-1,-1,-1,-1
-,10480843,589200,9346973,7392420,-1,544669,0,1,0,0,-1,-1,-1,-1
+,10488311,1026707,9408337,7506551,4578058,-1,1,0,0,0,-1,-1,-1,-1
+,10496527,5648070,10120073,7906794,45445,-1,1,0,4,0,6419169,771099,771099,1.1754
+,10496527,7815903,10120073,10074627,2213278,-1,1,0,4,0,6419169,1396734,1396734,2.12906
+,10502897,3156146,9828773,7200890,1416861,-1,1,0,4,0,2847470,308676,308676,0.470234
+,10502897,4367167,9828773,8411911,2627882,-1,1,0,4,0,2847470,1519697,1519697,2.31509
+,10513903,788870,9192727,8715926,7450255,-1,1,0,2,0,2443347,1654477,1654477,0.629444
+,10523113,37691,9158599,8224775,7253260,-1,1,0,2,0,1742906,1705215,1705215,0.648179
+,10532351,1121776,9504571,7288456,3950565,-1,1,0,2,0,1573472,451696,451696,0.171546
+,10550549,1149690,9226859,9091830,7807111,-1,1,0,0,0,-1,-1,-1,-1
-,10557109,678840,9782783,5324796,-1,95485,0,1,0,0,-1,-1,-1,-1
-,10557163,351285,9208561,8442897,-1,997316,0,1,4,0,1116529,765244,765244,0.579886
+,10558799,1295403,9734603,6240579,1451152,-1,1,0,0,0,-1,-1,-1,-1
+,10558799,3338274,9734603,8283450,3494023,-1,1,0,0,0,-1,-1,-1,-1
+,10560457,1613757,9516317,7878597,4627120,-1,1,0,0,0,-1,-1,-1,-1
+,10588663,1918359,9751537,6941115,2212334,-1,1,0,0,0,-1,-1,-1,-1
+,10588663,2516446,9751537,7539202,2810421,-1,1,0,0,0,-1,-1,-1,-1
+,10598491,470563,9451979,7349635,4776728,-1,1,0,0,0,-1,-1,-1,-1
+,10598617,4528131,10124039,7375599,99028,-1,1,0,2,0,3056881,1471250,1471250,1.11052
+,10598617,7177542,10124039,10025010,2748439,-1,1,0,2,0,7541735,364193,364193,0.274899
-,10601093,505304,9477119,7249148,-1,618669,0,1,0,0,-1,-1,-1,-1
+,10605523,2664623,9613631,8615975,4953696,-1,1,0,2,0,75877,2588746,2588746,0.976377
+,10609043,3184845,9974317,6993201,827240,-1,1,0,0,0,-1,-1,-1,-1
+,10609043,5338720,9974317,9147076,2981115,-1,1,0,0,0,-1,-1,-1,-1
+,10620149,3448447,10040617,6925639,362214,-1,1,0,0,0,-1,-1,-1,-1
+,10620149,6201210,10040617,9678402,3114977,-1,1,0,0,0,-1,-1,-1,-1
-,10629079,385646,10103017,3542018,-1,140415,0,1,2,0,4899520,4513874,4513874,1.69869
-,10634389,525560,10094593,3764336,-1,14235,0,1,2,0,4194166,3668606,3668606,1.3799
+,10636469,3084067,9979859,7023727,983528,-1,1,0,0,0,-1,-1,-1,-1
+,10636469,5056670,9979859,8996330,2956131,-1,1,0,0,0,-1,-1,-1,-1
+,10638883,55666,9395341,7516918,5582829,-1,1,0,2,0,3804344,3748678,3748678,1.40943
+,10646969,5699267,10194707,8412839,931704,-1,1,0,4,0,5331790,367477,367477,0.552235
+,10646969,6549430,10194707,9263002,1781867,-1,1,0,4,0,5331790,1217640,1217640,1.82984
+,10673879,1086714,9567169,7726974,4800065,-1,1,0,0,0,-1,-1,-1,-1
+,10680221,9339697,10567009,10018969,131232,-1,1,0,4,0,10091497,751800,751800,1.12627
+,10680221,9756504,10567009,10435776,548039,-1,1,0,4,0,10091497,334993,334993,0.501852
+,10682983,4426284,9789293,9788424,5361271,-1,1,0,0,0,-1,-1,-1,-1
+,10694759,401807,9247663,9084383,8519296,-1,1,0,0,0,-1,-1,-1,-1
-,10699387,254540,10186601,3331256,-1,258245,0,1,2,0,1242437,987897,987897,0.369328
+,10710751,3782151,9741283,9598959,5674484,-1,1,0,2,0,137162,3644989,3644989,1.36124
+,10712353,1301826,9508991,8521998,6233179,-1,1,0,2,0,5328213,4026387,4026387,1.50346
+,10713919,2433695,9619669,8999195,5945026,-1,1,0,0,0,-1,-1,-1,-1
+,10716973,1802377,9835601,7090609,2543240,-1,1,0,2,0,2588155,785778,785778,0.586567
+,10716973,2004128,9835601,7292360,2744991,-1,1,0,2,0,2588155,584027,584027,0.435964
+,10722401,7420694,10420801,9230294,619093,-1,1,0,0,0,-1,-1,-1,-1
+,10722401,7992107,10420801,9801707,1190506,-1,1,0,0,0,-1,-1,-1,-1
-,10732649,848155,9488779,8311375,-1,395714,0,1,4,0,20595,827560,827560,0.616854
+,10735253,306986,9913847,5235422,250011,-1,1,0,0,0,-1,-1,-1,-1
+,10735253,4735399,9913847,9663835,4678424,-1,1,0,0,0,-1,-1,-1,-1
+,10743773,720992,9691237,7036208,3660187,-1,1,0,0,0,-1,-1,-1,-1
+,10744403,461843,9544189,7663127,5320222,-1,1,0,0,0,-1,-1,-1,-1
+,10756951,5296808,10295981,8062628,532467,-1,1,0,6,0,4075225,1221583,1221583,2.72549
+,10756951,6997693,10295981,9763513,2233352,-1,1,0,6,0,6681725,315968,315968,0.704961
-,10757473,78751,10597177,1040527,-1,81544,0,1,2,0,1837684,1758933,1758933,0.654032
-,10757911,139889,9245491,9214409,-1,1372530,0,1,0,0,-1,-1,-1,-1
-,10767047,1138540,9571543,8311564,-1,56963,0,1,0,0,-1,-1,-1,-1
+,10777309,4441533,10268789,7492653,274984,-1,1,0,2,0,4045109,396424,396424,0.294266
+,10777309,6942684,10268789,9993804,2776135,-1,1,0,2,0,6732199,210485,210485,0.156243
+,10778083,3757116,9826247,9468132,5352901,-1,1,0,0,0,-1,-1,-1,-1
-,10781269,589492,10190029,4136932,-1,1747,0,1,0,0,-1,-1,-1,-1
+,10784933,1104002,9950911,6108134,1161355,-1,1,0,0,0,-1,-1,-1,-1
+,10784933,3785423,9950911,8789555,3842776,-1,1,0,0,0,-1,-1,-1,-1
+,10791227,721293,9407467,9023853,7918946,-1,1,0,0,0,-1,-1,-1,-1
+,10805029,1969120,9677123,8736556,5826869,-1,1,0,0,0,-1,-1,-1,-1
+,10813631,1680424,9970487,6739288,1827665,-1,1,0,0,0,-1,-1,-1,-1
+,10813631,3083957,9970487,8142821,3231198,-1,1,0,0,0,-1,-1,-1,-1
+,10816181,2475028,9984031,7467928,2476797,-1,1,0,0,0,-1,-1,-1,-1
+,10816181,2514333,9984031,7507233,2516102,-1,1,0,0,0,-1,-1,-1,-1
+,10844597,1824438,9699889,8692686,5861045,-1,1,0,0,0,-1,-1,-1,-1
+,10845781,1403038,9704521,8250598,5393637,-1,1,0,2,0,4138083,2735045,2735045,1.0087
+,10851259,9044481,10696291,9974289,207806,-1,1,0,0,0,-1,-1,-1,-1
+,10851259,9558676,10696291,10488484,722001,-1,1,0,0,0,-1,-1,-1,-1
-,10867889,175947,10239181,3948195,-1,452760,0,1,0,0,-1,-1,-1,-1
-,10868059,1146135,9623209,8615235,-1,98714,0,1,0,0,-1,-1,-1,-1
-,10871513,570485,9925051,6249257,-1,375976,0,1,0,0,-1,-1,-1,-1
+,10880699,3870041,10219009,7840181,1591312,-1,1,0,4,0,2592405,1277636,1277636,1.87876
+,10880699,4657556,10219009,8627696,2378827,-1,1,0,4,0,5431982,774426,774426,1.13879
+,10881419,717913,9621709,8276173,6212724,-1,1,0,2,0,19393,698520,698520,0.256775
+,10885607,735565,9541739,8798773,7320242,-1,1,0,0,0,-1,-1,-1,-1
+,10922383,3448484,10236319,7564868,1444933,-1,1,0,4,0,2252073,1196411,1196411,1.7526
+,10922383,4675001,10236319,8791385,2671450,-1,1,0,4,0,4871746,196745,196745,0.288208
-,10944469,753606,9530377,9238158,-1,660485,0,1,4,0,497798,255808,255808,0.186986
+,10959517,417244,9541771,8923720,7888425,-1,1,0,2,0,1907855,1490611,1490611,0.544043
+,10961129,5184317,10441259,8303537,981498,-1,1,0,4,0,4277832,906485,906485,1.3232
+,10961129,6340540,10441259,9459760,2137721,-1,1,0,4,0,6683296,342756,342756,0.500322
+,10963241,1417924,9632533,9402172,7753887,-1,1,0,2,0,4057465,2639541,2639541,0.963051
-,10966759,620124,10040363,6178500,-1,306271,0,1,2,0,4782805,4162681,4162681,1.51829
+,10970237,3349040,10345651,7096556,498421,-1,1,0,0,0,-1,-1,-1,-1
+,10970237,6099713,10345651,9847229,3249094,-1,1,0,0,0,-1,-1,-1,-1
-,10972561,468386,9661571,8334326,-1,842603,0,1,4,0,445708,22678,22678,0.0165343
-,10974793,214352,10073039,5624876,-1,687401,0,1,2,0,4171220,3956868,3956868,1.44217
-,10983391,295462,9609337,8539786,-1,1078591,0,1,0,0,-1,-1,-1,-1
+,10987633,1333907,10051891,6948359,2510920,-1,1,0,0,0,-1,-1,-1,-1
+,10987633,1926518,10051891,7540970,3103531,-1,1,0,0,0,-1,-1,-1,-1
+,11007923,3260732,10054103,8983652,4652469,-1,1,0,2,0,3979160,718428,718428,0.261059
+,11011199,2002308,10299269,6273888,246199,-1,1,0,2,0,3521471,1519163,1519163,1.10372
+,11011199,5781489,10299269,10053069,4025380,-1,1,0,2,0,7489727,1708238,1708238,1.24109
+,11013061,2849785,10340663,6884173,577898,-1,1,0,0,0,-1,-1,-1,-1
+,11013061,5728376,10340663,9762764,3456489,-1,1,0,0,0,-1,-1,-1,-1
-,11015483,724948,10034159,6612892,-1,256375,0,1,2,0,3107552,2382604,2382604,0.865184
+,11026643,6249639,10646329,8531523,167078,-1,1,0,2,0,9566000,3316361,3316361,2.40607
+,11026643,8197366,10646329,10479250,2114805,-1,1,0,2,0,9566000,1368634,1368634,0.992965
+,11027299,3243905,10354063,7283321,968674,-1,1,0,0,0,-1,-1,-1,-1
+,11027299,5345972,10354063,9385388,3070741,-1,1,0,0,0,-1,-1,-1,-1
+,11028211,9833821,10917307,10499245,247362,-1,1,0,2,0,8221710,1612111,1612111,1.16945
+,11028211,10004520,10917307,10669944,418061,-1,1,0,2,0,8221710,1782810,1782810,1.29327
+,11035711,591587,9683969,8702039,7128522,-1,1,0,4,0,4921091,4329504,4329504,3.13854
+,11036903,831200,9843191,7993472,5312553,-1,1,0,0,0,-1,-1,-1,-1
+,11041273,1196724,9635803,9629544,8426561,-1,1,0,0,0,-1,-1,-1,-1
+,11051609,1494834,9894977,8434626,5479441,-1,1,0,0,0,-1,-1,-1,-1
-,11052557,419584,9719609,8417272,-1,913363,0,1,2,0,3494378,3074794,3074794,1.11279
+,11066057,664744,9709619,8803372,7232381,-1,1,0,2,0,4023678,3358934,3358934,1.21414
-,11076323,54302,10622009,2780186,-1,400011,0,1,0,0,-1,-1,-1,-1
+,11078269,456364,9958631,7174192,3933389,-1,1,0,4,0,1821771,1365407,1365407,0.986007
-,11085979,87113,10402421,4188461,-1,596444,0,1,0,0,-1,-1,-1,-1
-,11091523,289965,9974317,6993201,-1,827240,0,1,0,0,-1,-1,-1,-1
-,11094401,150220,9678323,8646688,-1,1265857,0,1,2,0,4631333,4481113,4481113,1.61563
+,11097221,1187065,9759847,9211309,7475706,-1,1,0,0,0,-1,-1,-1,-1
+,11106551,474531,10116677,6413775,2236342,-1,1,0,0,0,-1,-1,-1,-1
+,11106551,1941090,10116677,7880334,3702901,-1,1,0,0,0,-1,-1,-1,-1
-,11107847,1015304,9925687,8108264,-1,166855,0,1,2,0,2213134,1197830,1197830,0.431346
+,11112947,2194164,9982169,8978832,5781331,-1,1,0,0,0,-1,-1,-1,-1
+,11119561,717681,9934009,7830993,5010296,-1,1,0,0,0,-1,-1,-1,-1
-,11130167,222584,10844413,1937108,-1,63169,0,1,2,0,496649,274065,274065,0.0984945
+,11137453,875875,9695461,9527827,8484318,-1,1,0,0,0,-1,-1,-1,-1
+,11152087,8116950,10887881,9702186,399541,-1,1,0,2,0,10843232,2726282,2726282,1.95571
+,11152087,8903103,10887881,10488339,1185694,-1,1,0,2,0,10843232,1940129,1940129,1.39176
+,11157793,5276838,10617703,8517378,1140215,-1,1,0,4,0,1924244,3352594,3352594,4.80754
+,11157793,6236947,10617703,9477487,2100324,-1,1,0,4,0,9233548,2996601,2996601,4.29705
+,11159131,6796644,10777111,9088764,603773,-1,1,0,0,0,-1,-1,-1,-1
+,11159131,7881217,10777111,10173337,1688346,-1,1,0,0,0,-1,-1,-1,-1
+,11161789,5721469,10703443,8471545,518178,-1,1,0,0,0,-1,-1,-1,-1
+,11161789,7435188,10703443,10185264,2231897,-1,1,0,0,0,-1,-1,-1,-1
+,11164519,4201658,10215173,9897734,5378637,-1,1,0,2,0,2190831,2010827,2010827,0.720435
+,11165659,1636055,9929203,9054791,6544324,-1,1,0,0,0,-1,-1,-1,-1
-,11166143,751464,9892681,8392236,-1,521997,0,1,0,0,-1,-1,-1,-1
-,11170681,883799,9887323,8583947,-1,399558,0,1,2,0,730574,153225,153225,0.0548668
-,11177521,539912,10273313,5965160,-1,364295,0,1,0,0,-1,-1,-1,-1
+,11179037,2908515,10034159,9777783,6612892,-1,1,0,0,0,-1,-1,-1,-1
-,11180881,557351,9896269,8265023,-1,727260,0,1,0,0,-1,-1,-1,-1
+,11181241,902245,10100641,7385845,3768804,-1,1,0,0,0,-1,-1,-1,-1
+,11200589,5169090,10664749,8384130,934421,-1,1,0,0,0,-1,-1,-1,-1
+,11200589,6515287,10664749,9730327,2280618,-1,1,0,0,0,-1,-1,-1,-1
-,11202871,36238,10525913,4097986,-1,640719,0,1,0,0,-1,-1,-1,-1
+,11204009,2250693,10365643,7280889,1945442,-1,1,0,0,0,-1,-1,-1,-1
+,11204009,3390004,10365643,8420200,3084753,-1,1,0,0,0,-1,-1,-1,-1
+,11205407,3095826,10414583,7840770,2171131,-1,1,0,0,0,-1,-1,-1,-1
+,11205407,3498507,10414583,8243451,2573812,-1,1,0,0,0,-1,-1,-1,-1
+,11208091,1890440,10471093,6312428,263323,-1,1,0,4,0,153190,1737250,1737250,2.47999
+,11208091,5785781,10471093,10207769,4158664,-1,1,0,4,0,5882977,97196,97196,0.138751
-,11212577,493317,10214527,6481617,-1,504732,0,1,2,0,4998761,4505444,4505444,1.60728
+,11230673,2469619,10513141,6774811,566862,-1,1,0,2,0,2356712,112907,112907,0.0804276
+,11230673,5641086,10513141,9946278,3738329,-1,1,0,2,0,8873960,3232874,3232874,2.30289
-,11245991,16911,11098459,902103,-1,130620,0,1,0,0,-1,-1,-1,-1
+,11250457,3098438,10241549,9151886,4963785,-1,1,0,0,0,-1,-1,-1,-1
+,11251787,897220,9943693,8745784,6650655,-1,1,0,2,0,1316582,419362,419362,0.149083
-,11251871,1036902,10073549,8106834,-1,141419,0,1,0,0,-1,-1,-1,-1
+,11260241,2815975,10573357,6937279,485226,-1,1,0,0,0,-1,-1,-1,-1
+,11260241,5966826,10573357,10088130,3636077,-1,1,0,0,0,-1,-1,-1,-1
+,11262631,3778821,10243397,9894225,5766232,-1,1,0,0,0,-1,-1,-1,-1
+,11273027,1137141,10340923,6729765,1981466,-1,1,0,4,0,1360995,223854,223854,0.31772
+,11273027,2766832,10340923,8359456,3611157,-1,1,0,4,0,1360995,1405837,1405837,1.99533
+,11281811,2975175,10488581,7734555,2005354,-1,1,0,0,0,-1,-1,-1,-1
+,11281811,3723846,10488581,8483226,2754025,-1,1,0,0,0,-1,-1,-1,-1
-,11285009,227955,10822103,3005391,-1,234950,0,1,2,0,1974966,1747011,1747011,0.619232
+,11304193,386354,10174403,7165094,3769431,-1,1,0,0,0,-1,-1,-1,-1
