rank,q,t,p,sign,type,zq_size,nearest_zero,linear_distance,cyclic_distance,normalized_distance,zp_size,x,y,h
110,3466913,1284702,3249749,+,P,2,1174513,110189,110189,0.031783030032769784,4,662062,2608827,1946765
111,8709941,3797802,8066753,+,P,2,3520504,277298,277298,0.031836955037927349,4,409822,4617447,4207625
112,9356491,806449,8271889,+,P,4,1105225,298776,298776,0.031932484090456563,4,957827,2722104,1764277
113,6919463,116653,6744523,-,M+,2,339334,222681,222681,0.032181832607530381,4,58286,5578229,5519943
114,2865463,963928,2594569,+,P,2,1056179,92251,92251,0.032194099173501807,6,5276,974481,969205
115,6113161,1715405,5566073,+,P,2,1510283,205122,205122,0.033554162895431679,4,568139,2851684,2283545
116,6690379,4644487,6469423,+,P,2,4870145,225658,225658,0.033728731959729037,4,499199,5642886,5143687
117,8061107,194706,7029227,-,M-,2,470331,275625,275625,0.034191954033112329,4,643240,837173,193933
118,3919829,508285,3599137,+,P,6,373718,134567,134567,0.034329813877084947,4,1166699,2841684,1674985
119,4100743,248196,3553243,+,P,6,106940,141256,141256,0.034446440559674184,4,20046,288289,268243
120,8606779,840879,7594453,+,P,2,542634,298245,298245,0.034652336257268837,4,679617,2200114,1520497
121,4469627,1992109,4225147,+,P,4,2147260,155151,155151,0.034712292547006716,4,766157,3524424,2758267
122,9700487,2985129,8753663,+,P,2,3322179,337050,337050,0.034745678232443379,4,87589,3160308,3072719
123,3059377,203089,2739673,-,M+,2,96126,106963,106963,0.034962346909190992,4,116614,618359,501745
124,9338071,3992184,8605561,+,P,2,3664099,328085,328085,0.035134129950393396,6,218316,4428817,4210501
125,8650517,4353035,8161627,+,P,4,4657972,304937,304937,0.035250725476870345,4,875251,6103538,5228287
126,5024861,463463,4567399,+,P,4,642656,179193,179193,0.035661284958927224,4,1359163,3181790,1822627
127,5823497,910049,5263493,+,P,4,701247,208802,208802,0.035855088445997309,6,993419,2896888,1903469
128,8563397,2830861,7764511,+,P,2,3139317,308456,308456,0.036020284940660813,6,140333,3111528,2971195
129,1499551,175408,1315451,+,P,2,229462,54054,54054,0.036046790005808405,4,35442,246293,210851
130,4142167,57846,3598601,+,P,2,207340,149494,149494,0.036090770845308748,6,279358,616563,337205
131,9907349,3473540,9125887,+,P,2,3113963,359577,359577,0.036293967235836749,4,963574,5400689,4437115
132,6293137,498673,5666527,+,P,2,269909,228764,228764,0.036351345918577652,4,1408193,3315060,1906867
133,2010571,541503,1824577,+,P,6,467240,74263,74263,0.036936273327328406,6,167109,875722,708613
134,6655729,285100,6190259,-,M+,2,38434,246666,246666,0.037060703643432599,10,180369,3112338,2931969
135,4575833,520963,4174967,+,P,2,350695,170268,170268,0.03721027406376063,4,1248807,3018578,1769771
136,7783231,587282,7081199,-,M+,2,297253,290029,290029,0.037263316481291636,4,114749,2281724,2166975
137,3123317,721058,2805367,+,P,2,838245,117187,117187,0.037520046796402667,6,176608,1074275,897667
138,6684449,332671,6060037,+,P,6,81733,250938,250938,0.037540566170824255,6,1980893,4294458,2313565
139,9244133,2171392,8426419,+,P,2,1824313,347079,347079,0.037545868282076858,4,1348742,4868877,3520135
140,9098459,721431,8351533,+,P,6,377662,343769,343769,0.037783211420747184,6,3148545,7018522,3869977
141,3466913,1305843,3249749,+,P,2,1174513,131330,131330,0.037880962112403743,4,640921,2587686,1946765
142,3174167,149601,2820673,+,P,2,270460,120859,120859,0.038075816426797957,10,550107,1249816,699709
143,2155661,2041711,2146523,+,P,2,2123800,82089,82089,0.038080662961384001,8,49983,2141678,2091695
144,4820489,439007,4251563,-,M+,2,622971,183964,183964,0.038162933262579794,6,129918,398999,269081
145,1702249,316281,1576889,+,P,4,381950,65669,65669,0.038577787385981721,4,508447,1333176,824729
146,3326417,2119564,3184057,+,P,2,1990438,129126,129126,0.038818344182343943,4,210332,2540229,2329897
147,2233031,165072,1997557,+,P,4,252048,86976,86976,0.038949750361728069,10,419640,1004353,584713
148,6235399,561926,5595257,-,M+,2,808075,246149,246149,0.039476062397931555,4,78215,1192478,1114263
149,6557099,2020256,6168691,+,P,6,1760758,259498,259498,0.039575123084156574,4,1817986,5656229,3838243
150,2687329,1723126,2593529,+,P,2,1613572,109554,109554,0.040766872980569184,4,307602,2338331,2030729
151,2326963,1091883,2190653,+,P,4,996846,95037,95037,0.040841646386298364,4,280909,1653702,1372793
152,8567243,2101475,7735669,+,P,2,2451718,350243,350243,0.040881646522691141,4,644749,3390974,2746225
153,5024861,437018,4567399,+,P,4,642656,205638,205638,0.040924117104930866,4,1385608,3208235,1822627
154,6508367,472598,5928047,+,P,2,742166,269568,269568,0.041418684594768551,4,1973528,4419655,2446127
155,7306661,5788921,7092307,+,P,2,6092388,303467,303467,0.041532924546519946,4,17261,5823444,5806183
156,1409659,1043704,1369793,+,P,2,1102884,59180,59180,0.041981784247112242,4,86892,1217489,1130597
157,7970357,3578220,7592201,+,P,4,3238142,340078,340078,0.042667850386124487,4,1745044,7068309,5323265
158,6555397,429356,5772317,-,M+,2,709284,279928,279928,0.042701914163245945,6,353723,644480,290757
159,1423159,524168,1351667,+,P,2,462577,61591,61591,0.043277666093528552,6,398546,1321261,922715
160,9719761,5768285,9380131,+,P,2,6191819,423534,423534,0.043574528221424373,4,1574065,8916416,7342351
161,9098459,2536966,8351533,+,P,6,2935189,398223,398223,0.04376818096339171,6,1333010,5202987,3869977
162,5812199,4220937,5649649,+,P,2,4477478,256541,256541,0.044138371724712112,6,453411,5127760,4674349
163,2829557,1276355,2650931,+,P,2,1402194,125839,125839,0.044473039419244777,4,302819,1881994,1579175
164,6949297,2839444,6530947,+,P,2,3148727,309283,309283,0.044505652873952577,4,1181402,5202249,4020847
165,3620153,247561,3217727,-,M+,2,408845,161284,161284,0.044551708173660061,6,154864,555609,400745
166,2851361,283635,2544403,-,M+,2,411085,127450,127450,0.044697953012613978,4,23322,419019,395697
167,3668953,1482028,3368837,+,P,2,1646706,164678,164678,0.044884194482731177,4,86112,1654253,1568141
168,1663589,5738,1621469,-,M+,4,83921,78183,78183,0.046996583891814624,4,36381,1363010,1326629
169,1375243,1242033,1359097,+,P,4,1307674,65641,65641,0.047730473814445881,4,20187,1282408,1262221
170,1423159,892309,1351667,+,P,2,960581,68272,68272,0.047972152092633363,6,30405,953120,922715
171,5528779,1118668,5093519,+,P,2,852517,266151,266151,0.048139200355087446,6,1363290,3845249,2481959
172,3260891,2292656,3157577,+,P,2,2135120,157536,157536,0.048310722437517842,4,245036,2782729,2537693
