rank,q,t,p,sign,type,zq_size,nearest_zero,linear_distance,cyclic_distance,normalized_distance,zp_size,x,y,h
540,6991013,3599042,6592609,+,P,2,5131612,1532570,1532570,0.219220018615328,4,603142,4805327,4202185
541,9400103,1157706,8527913,+,P,2,3219550,2061844,2061844,0.21934270294697836,6,2137066,5431839,3294773
542,3242251,291839,2943217,+,P,2,1003766,711927,711927,0.21957800306021957,4,857173,2006186,1149013
543,1005373,70344,897751,-,M+,4,291306,220962,220962,0.2197811160633914,8,37277,181674,144397
544,7482679,47515,6772357,+,P,2,1694571,1647056,1647056,0.22011581680839176,8,2462909,4973334,2510425
545,1534051,360876,1420511,+,P,2,23058,337818,337818,0.2202130176897639,4,378394,1117665,739271
546,9687823,1168892,8984707,+,P,2,3319871,2150979,2150979,0.22202913905425398,4,3597118,8363129,4766011
547,1459153,555229,1371061,+,P,2,228766,326463,326463,0.22373459123203668,6,287279,1129788,842509
548,7569481,1631984,6941483,+,P,2,3326766,1694782,1694782,0.22389672422719603,4,1541510,4715005,3173495
549,1057117,34857,977023,+,P,2,271627,236770,236770,0.22397709998041845,4,461601,958060,496459
550,4699151,1828975,4295479,+,P,6,774116,1054859,1054859,0.22447863454483585,6,44471,1917918,1873447
551,2916827,120041,2574569,-,M+,2,784695,664654,664654,0.22786884515262645,4,222216,400979,178763
552,4570403,1412616,4310237,+,P,2,370185,1042431,1042431,0.22808295023436664,4,1336624,4085865,2749241
553,7904753,1510086,7032313,+,P,2,3313903,1803817,1803817,0.22819397392935617,6,287586,2085259,1797673
554,2679587,1932461,2608561,+,P,2,2543965,611504,611504,0.22820830224956309,4,249943,2432348,2182405
555,8899469,6065468,8637059,+,P,2,8103511,2038043,2038043,0.22900725874768482,6,997130,8059729,7062599
556,5110423,3439338,4959083,+,P,2,4632717,1193379,1193379,0.23351863436744866,6,611704,4662747,4051043
557,3813391,2834593,3686339,+,P,2,3725152,890559,890559,0.23353466770126641,6,89433,3013460,2924027
558,7862047,417084,7379171,-,M+,2,2253207,1836123,1836123,0.23354261301159862,8,65791,4064830,3999039
559,4619773,1115763,4203929,+,P,6,2194794,1079031,1079031,0.23356796968162721,8,593101,2301966,1708865
560,4889147,1939316,4515209,+,P,2,795675,1143641,1143641,0.2339142185743239,6,332264,2603845,2271581
561,9627551,6115591,9205073,+,P,4,8373023,2257432,2257432,0.2344762442702199,4,554613,7224818,6670205
562,2540663,114436,2374157,-,M+,2,712209,597773,597773,0.23528228655276201,8,52069,1260684,1208615
563,3936791,302621,3469463,-,M+,2,1229102,926481,926481,0.2353391378917499,4,164706,362873,198167
564,2516413,1367967,2399231,+,P,2,1960338,592371,592371,0.23540293266645818,4,328171,2024310,1696139
565,7316299,4332793,6928421,+,P,2,6067925,1735132,1735132,0.23715979896392972,4,268359,4869512,4601153
566,4172489,2858520,4031821,+,P,2,3849361,990841,990841,0.23747000890835182,4,329292,3517105,3187813
567,1080353,97348,961183,+,P,2,355353,258005,258005,0.23881546124276046,4,148814,394977,246163
568,6443293,286082,5876021,-,M+,2,1825711,1539629,1539629,0.2389506421638749,6,281189,2186306,1905117
569,8813983,3863391,8224747,+,P,2,1756492,2106899,2106899,0.23904051096989862,4,825939,5515270,4689331
570,2704529,12398,2428787,+,P,6,663466,651068,651068,0.24073248983464404,4,761936,1536271,774335
571,4468903,2468270,4300487,+,P,2,3545004,1076734,1076734,0.24093921931176399,4,821720,4111711,3289991
572,3740519,2823341,3619877,+,P,2,1916737,906604,906604,0.24237385239855752,6,72683,2968708,2896025
573,7488017,1391160,6637373,+,P,2,3206446,1815286,1815286,0.24242546457893993,6,142348,1675857,1533509
574,9907349,711917,9125887,+,P,2,3113963,2402046,2402046,0.2424509321312896,4,3725197,8162312,4437115
575,3242251,211982,2943217,+,P,2,1003766,791784,791784,0.2442081134372385,4,937030,2086043,1149013
576,2306671,192520,2053897,-,M+,2,759376,566856,566856,0.24574635914701318,6,60253,344732,284479
577,3930767,369895,3438511,-,M-,2,1336584,966689,966689,0.24592884798310355,4,115079,122360,7281
578,1248529,52210,1194517,-,M+,2,360446,308236,308236,0.24687932759271111,4,1801,818234,816433
579,2896913,33739,2659159,-,M+,2,749396,715657,715657,0.24704124701017946,6,204014,1198895,994881
580,1839473,1265579,1781309,+,P,2,1720216,454637,454637,0.24715611482201696,4,166745,1599070,1432325
581,5509429,2583788,5142259,+,P,2,1221902,1361886,1361886,0.24719185962828452,6,355450,3294689,2939239
582,5565047,564217,5096249,+,P,2,1946366,1382149,1382149,0.24836250259881004,4,1719243,4002704,2283461
583,3338747,102288,3010967,-,M+,2,933489,831201,831201,0.24895597060813532,8,225491,941998,716507
584,2110099,734744,1956881,+,P,2,207164,527580,527580,0.25002618360560336,4,302828,1340401,1037573
585,1538261,101261,1339003,-,M-,2,487555,386294,386294,0.2511238339917608,4,42193,97996,55803
586,4407287,148215,3927601,-,M+,2,1259428,1111213,1111213,0.25213084602840702,6,331470,901269,569799
587,1765573,608735,1629623,+,P,2,161862,446873,446873,0.25310366662834105,4,205187,1019110,813923
588,8921911,425240,8104753,+,P,2,2684386,2259146,2259146,0.25321324097494358,6,2776564,5978369,3201805
589,5311217,3086835,5121979,+,P,2,4433252,1346417,1346417,0.25350442280931096,6,899715,4886266,3986551
590,2516413,1321218,2399231,+,P,2,1960338,639120,639120,0.25398056678295655,4,374920,2071059,1696139
591,3463541,1970478,3309701,+,P,2,2851852,881374,881374,0.25447194071038859,6,416182,2802843,2386661
592,9920111,1209959,9144259,+,P,2,3740096,2530137,2530137,0.25505127916411419,6,3279187,7768334,4489147
593,1459153,601236,1371061,+,P,2,228766,372470,372470,0.25526452674942246,6,241272,1083781,842509
594,1839473,1250086,1781309,+,P,2,1720216,470130,470130,0.25557863583754697,4,182238,1614563,1432325
595,4276031,2189406,3984479,+,P,4,3283245,1093839,1093839,0.25580707904128852,4,45760,2280927,2235167
596,4105711,37464,3735671,-,M+,2,1089937,1052473,1052473,0.25634366374057987,6,332575,1477966,1145391
597,5547709,1755197,5048353,+,P,2,331106,1424091,1424091,0.25669893644385455,4,297019,2349236,2052217
598,1129603,68638,986351,-,M-,2,359586,290948,290948,0.25756659640599394,8,58200,74613,16413
599,6096593,3918730,5895707,+,P,2,5489514,1570784,1570784,0.25764947733922866,4,771660,5462051,4690391
600,4354547,1731772,4113959,+,P,2,608571,1123201,1123201,0.25793750762134388,4,938658,3609089,2670431
601,9626087,5821926,9179153,+,P,2,8307852,2485926,2485926,0.25824886062218222,4,675622,7173171,6497549
602,7813777,589991,6965753,+,P,2,2610413,2020422,2020422,0.25857175089588558,6,1287617,3165226,1877609
603,1084177,92843,971921,-,M+,4,373210,280367,280367,0.25859891881122732,4,19412,205541,186129
604,4710833,329165,4184507,+,P,2,1551341,1222176,1222176,0.25943946643831356,4,697385,1723936,1026551
605,9721561,374779,8456039,-,M-,2,2897011,2522232,2522232,0.25944722251909957,6,488127,890742,402615
606,5805941,156262,5178889,-,M+,2,1671740,1515478,1515478,0.26102194286852037,6,470789,1260314,789525
607,5465459,3533180,5302837,+,P,2,4960375,1427195,1427195,0.26112994352349911,4,793924,5121029,4327105
608,3710501,2098908,3544889,+,P,2,3068373,969465,969465,0.26127603792587578,6,452308,3003525,2551217
609,4247363,3591722,4185449,+,P,2,2481909,1109813,1109813,0.26129459620004225,4,222242,4036207,3813965
610,8061019,4980165,7800967,+,P,2,7086513,2106348,2106348,0.26130046337814117,4,1260489,7501144,6240655
611,3339029,1093671,3151157,+,P,2,220669,873002,873002,0.2614538538000119,4,930253,2954178,2023925
612,6825437,1411569,6354479,+,P,2,3196714,1785145,1785145,0.26154296054596943,4,2117161,5645892,3528731
613,5964527,339677,5562059,-,M+,2,1901696,1562019,1562019,0.26188480662423019,6,62790,2807573,2744783
614,1254557,505183,1186811,+,P,2,174899,330284,330284,0.26326743224899307,4,275151,1055486,780335
615,3182203,214212,2781797,-,M-,6,1056662,842450,842450,0.26473798183208297,4,165148,186193,21045
616,3754241,1616301,3543523,+,P,4,620776,995525,995525,0.2651734398510911,8,662913,2942128,2279215
617,1762627,1024562,1663381,+,P,2,1494365,469803,469803,0.26653568792489846,4,43342,1111247,1067905
618,5340103,2236749,4961563,+,P,2,812889,1423860,1423860,0.26663530647255307,4,453573,3143896,2690323
619,2898017,1746547,2759689,+,P,2,2522355,775808,775808,0.26770305350175655,4,183173,2112894,1929721
620,2522473,238321,2236489,-,M+,2,916546,678225,678225,0.26887304641120041,6,47662,282263,234601
621,1534051,436425,1420511,+,P,2,23058,413367,413367,0.26946105442387508,4,302845,1042116,739271
622,1030369,10064,901403,+,P,4,290172,280108,280108,0.27185212288024968,4,117542,245149,127607
623,6079159,3323557,5721389,+,P,2,5001170,1677613,1677613,0.27596136241871616,4,251211,3825980,3574769
624,2457641,72652,2235997,+,P,4,753649,680997,680997,0.27709376593245311,4,833480,1739613,906133
625,2027549,1172069,1960009,+,P,2,1734670,562601,562601,0.27747837413547094,4,382699,1937468,1554769
626,4247363,3664723,4185449,+,P,2,2481909,1182814,1182814,0.27848196634005618,4,149241,3963206,3813965
627,2362331,1240183,2223563,+,P,2,1900947,660764,660764,0.27970847438398766,4,150771,1541726,1390955
628,3772229,1176571,3428617,+,P,2,121092,1055479,1055479,0.27980247222530763,4,190373,1557318,1366945
629,6579961,51852,5864513,+,P,2,1897196,1845344,1845344,0.28044907864955432,6,1519972,3091797,1571825
630,3463541,1879803,3309701,+,P,2,2851852,972049,972049,0.28065179537357865,6,506857,2893518,2386661
631,7260277,290576,6492569,-,M+,2,2328844,2038268,2038268,0.28074245652059832,4,477131,1595744,1118613
632,1963391,665978,1780837,+,P,2,113486,552492,552492,0.28139682824256607,4,19534,705047,685513
633,7009757,259641,6216887,+,P,2,2232887,1973246,1973246,0.2814999150469838,4,1200025,2659692,1459667
634,3754241,1677820,3543523,+,P,4,620776,1057044,1057044,0.28155997443957381,8,601394,2880609,2279215
635,4172489,2673097,4031821,+,P,2,3849361,1176264,1176264,0.28190943103744553,4,514715,3702528,3187813
636,1773847,207881,1625867,+,P,2,709270,501389,501389,0.28265628320819103,6,530105,1268092,737987
637,7964569,4791654,7704467,+,P,2,7047059,2255405,2255405,0.28317979290530348,8,1352200,7496055,6143855
638,4510651,877331,4032907,+,P,2,2159767,1282436,1282436,0.28431284087374525,4,289111,1455554,1166443
639,8896093,902867,7957501,-,M+,2,3440067,2537200,2537200,0.28520385297231043,4,35724,1423081,1387357
640,3710501,2009853,3544889,+,P,2,3068373,1058520,1058520,0.28527683997390108,6,541363,3092580,2551217
641,9830329,6736314,9584101,+,P,2,9553059,2816745,2816745,0.28653618815809723,6,1370418,9477151,8106733
642,6495367,1058745,6072527,+,P,2,2926991,1868246,1868246,0.28762747355153295,6,2476741,6012228,3535487
643,1462693,67827,1380781,-,M+,2,490238,422411,422411,0.28878992379125351,6,14084,821481,807397
644,1971503,84384,1762039,-,M+,2,657503,573119,573119,0.29070156119468243,4,125079,420870,295791
645,9687661,2860657,8779513,+,P,2,25421,2835236,2835236,0.29266465868283376,6,469967,3800592,3330625
646,2238359,3758,1965553,+,P,2,659982,656224,656224,0.2931719174627484,4,324958,653675,328717
647,5258303,300124,4868011,-,M+,2,1848032,1547908,1547908,0.29437405946367107,4,90167,2226134,2135967
648,6936973,4577330,6696643,+,P,2,6620019,2042689,2042689,0.29446402631234114,4,677332,5931995,5254663
649,9581311,1054137,8425169,-,M+,2,3875490,2821353,2821353,0.29446419180005745,4,102004,434179,332175
650,3466069,250135,3079613,-,M+,2,1271080,1020945,1020945,0.29455414765257126,8,136320,510741,374421
651,2874023,2491256,2821859,+,P,2,1643784,847472,847472,0.29487307512848715,4,17618,2526493,2508875
652,8628293,475338,7991311,+,P,2,3021405,2546067,2546067,0.29508351188352089,8,3694080,7863499,4169419
653,5783891,368231,5101541,-,M+,2,2088149,1719918,1719918,0.29736348765908627,4,314118,639209,325091
654,1310041,11331,1162453,-,M+,2,401172,389841,389841,0.29757923606971082,4,136256,265593,129337
655,1533139,511655,1390283,+,P,2,52344,459311,459311,0.29958862177532503,4,21491,554638,533147
656,7120063,1393403,6386207,+,P,2,3527050,2133647,2133647,0.29966687092515892,4,589667,2572738,1983071
657,7148893,3763546,6845981,+,P,2,5910315,2146769,2146769,0.30029390564385283,4,1264962,6293471,5028509
658,5206819,457249,4713259,+,P,2,2025887,1568638,1568638,0.30126608971811775,4,1294649,3046548,1751899
659,4657901,348632,4081669,-,M+,2,1764864,1416232,1416232,0.30404939907481932,6,227599,275644,48045
660,3309997,1802617,3182147,+,P,2,2816670,1014053,1014053,0.30636070062903381,4,612429,3027476,2415047
661,5429899,57485,4998667,+,P,2,1724471,1666986,1666986,0.30700129044757557,6,2353789,4765064,2411275
662,6936973,4490015,6696643,+,P,2,6620019,2130004,2130004,0.3070509284092644,4,764647,6019310,5254663
663,4890341,290131,4386419,+,P,2,1792007,1501876,1501876,0.30711069023612053,6,1072755,2435642,1362887
664,2577049,212987,2245013,+,P,2,1007076,794089,794089,0.30813888288503632,6,39809,292606,252797
665,1670687,253395,1503863,+,P,2,772167,518772,518772,0.31051417770055073,6,249523,752442,502919
666,8423893,45909,7515047,+,P,2,2682171,2636262,2636262,0.31295055623332346,6,2016061,4078032,2061971
667,2898017,1282926,2759689,+,P,2,375661,907265,907265,0.31306407105272327,4,646794,2576515,1929721
668,5909837,1865047,5340949,+,P,2,14039,1851008,1851008,0.31320796157322106,4,62573,1990194,1927621
669,7569481,947017,6941483,+,P,2,3326766,2379749,2379749,0.31438734042664218,4,2226477,5399972,3173495
670,3906953,1296831,3588787,+,P,2,68274,1228557,1228557,0.31445400034246634,4,382959,2062750,1679791
671,1545539,1033072,1472467,+,P,2,1520100,487028,487028,0.31511854440424991,6,962,1034997,1034035
672,4259719,151825,3723439,+,P,4,1494756,1342931,1342931,0.31526281428422859,6,353933,859692,505759
673,5667973,3192266,5319689,+,P,2,4988373,1796107,1796107,0.31688700704819872,8,37718,3267703,3229985
674,8709941,758319,8066753,+,P,2,3520504,2762185,2762185,0.31713016196091337,4,3449305,7656930,4207625
675,1579313,540560,1485733,+,P,2,37965,502595,502595,0.31823647370723851,4,383692,1307945,924253
676,2343343,1297420,2210387,+,P,2,2044822,747402,747402,0.31894690619341687,4,115230,1527881,1412651
677,9295393,1325840,8222491,+,P,2,4296040,2970200,2970200,0.31953463398481374,6,459238,2244317,1785079
678,6363923,2659851,5901617,+,P,2,626044,2033807,2033807,0.3195838478875373,6,467929,3595710,3127781
679,5938181,2319392,5613109,+,P,2,417659,1901733,1901733,0.32025514210496447,4,1343284,5005961,3662677
680,2797999,1634744,2707801,+,P,2,2531746,897002,897002,0.32058696232557626,6,531868,2698481,2166613
681,9400103,198699,8527913,+,P,2,3219550,3020851,3020851,0.32136360633495187,6,3096073,6390846,3294773
682,7712603,1240749,6946963,+,P,2,3724942,2484193,2484193,0.32209527704200513,4,1112373,3465496,2353123
683,1855811,141985,1624811,-,M+,2,742703,600718,600718,0.32369567806204402,6,89014,96825,7811
684,1331719,208021,1189553,+,P,2,641510,433489,433489,0.32551086227650128,8,128535,465092,336557
685,3732083,90595,3304151,-,M+,2,1309175,1218580,1218580,0.32651471041774793,6,337336,645963,308627
686,3293681,208462,2899993,+,P,4,1285165,1076703,1076703,0.32689959956656395,4,329402,867267,537865
687,9626087,4491567,9179153,+,P,2,1318234,3173333,3173333,0.32965970492475294,4,2005981,8503530,6497549
688,5596907,555343,5026817,+,P,2,2408158,1852815,1852815,0.3310426633853305,6,1050933,2657210,1606277
689,4595039,2428890,4300801,+,P,2,3952059,1523169,1523169,0.33148119091045802,4,106482,2641855,2535373
690,8459371,166629,7708199,-,M+,2,2980779,2814150,2814150,0.33266657769236035,4,584542,3034537,2449995
691,8510317,489132,8005411,-,M+,2,3348157,2859025,2859025,0.33594812038141469,4,15773,4486842,4471069
692,5682763,413356,5248303,-,M+,2,2335111,1921755,1921755,0.33817264594705077,6,21103,2228186,2207083
693,1341547,617386,1253737,+,P,2,163207,454179,454179,0.33854870533794196,6,109490,836367,726877
694,9462077,63534,8983349,-,M+,2,3273069,3209535,3209535,0.33919983952783306,4,415193,6047446,5632253
695,1468741,97125,1359427,-,M+,2,597333,500208,500208,0.3405692358285089,8,12188,606417,594229
696,9545413,1095550,8387447,-,M+,2,4351628,3256078,3256078,0.34111441799322878,6,62415,344100,281685
697,6459907,115839,5843041,-,M+,2,2320571,2204732,2204732,0.3412946966573977,4,501026,2026005,1524979
698,1254557,649010,1186811,+,P,2,1079657,430647,430647,0.34326618878217569,4,131324,911659,780335
699,8969789,319846,8110009,-,M+,2,3410428,3090582,3090582,0.34455459320169068,8,539933,2631482,2091549
700,7847327,789491,6894317,+,P,2,3497934,2708443,2708443,0.34514211017331126,4,386765,1563022,1176257
701,2605439,1362265,2444809,+,P,2,2262002,899737,899737,0.34533028790925446,8,118763,1599792,1481029
702,4568327,229418,4006129,-,M+,2,1816006,1586588,1586588,0.34730175838988758,4,332779,403522,70743
703,9627551,4689950,9205073,+,P,4,1254527,3435423,3435423,0.3568324904225384,4,1980254,8650459,6670205
704,4354547,2165561,4113959,+,P,2,608571,1556990,1556990,0.357554987924117,4,504869,3175300,2670431
705,2597663,49497,2518151,-,M+,2,979504,930007,930007,0.35801680202551295,4,30014,1991581,1961567
706,4684259,333859,4204027,+,P,2,2012793,1678934,1678934,0.35842040331245562,6,988775,2311410,1322635
707,8468753,4844895,8104853,+,P,2,7898060,3053165,3053165,0.36052120070097687,10,1076557,6998010,5921453
708,6300601,13083,6164177,-,M+,2,2290756,2277673,2277673,0.36150091078612978,4,123340,5332549,5209209
709,1477843,8358,1277233,-,M-,2,544227,535869,535869,0.3626021167336449,6,65214,192251,127037
710,1210871,2857,1085521,-,M+,2,442182,439325,439325,0.36281734387891029,4,122492,330563,208071
711,8468753,4814610,8104853,+,P,2,7898060,3083450,3083450,0.36409728799505664,10,1106842,7028295,5921453
712,7218397,186076,7003543,-,M+,2,2818285,2632209,2632209,0.36465284466897568,4,28777,5528342,5499565
713,1651921,986444,1597601,+,P,2,1590738,604294,604294,0.3658128929894347,6,285236,1556917,1271681
714,4570403,2524869,4310237,+,P,2,4200217,1675348,1675348,0.3665646114795566,4,224371,2973612,2749241
715,4827523,53662,4543321,-,M+,2,1833705,1780043,1780043,0.36872802056044063,4,230539,2784446,2553907
716,6100781,322861,5338667,+,P,2,2574144,2251283,2251283,0.36901554079715365,4,443121,1209104,765983
717,1545539,596565,1472467,+,P,2,25438,571127,571127,0.3695325708377466,6,437469,1471504,1034035
718,9846413,1095861,8748031,-,M+,2,4765175,3669314,3669314,0.37265489473171598,4,2520,1061877,1059357
719,5206819,85188,4713259,+,P,2,2025887,1940699,1940699,0.37272257783495066,4,1666710,3418609,1751899
720,9514607,20362,8842151,-,M+,2,3575939,3555577,3555577,0.37369667501768594,6,652093,4787052,4134959
721,1536487,15594,1351543,+,P,2,590127,574533,574533,0.37392636579417854,8,226284,468163,241879
722,7270931,262818,6307121,-,M-,2,2996891,2734073,2734073,0.37602791169383948,6,261442,700991,439549
723,1576501,18079,1482583,-,M+,6,611102,593023,593023,0.37616404937262965,4,75838,900995,825157
724,7706177,4670261,7397113,+,P,2,7571151,2900890,2900890,0.37643698036004103,4,872467,6415196,5542729
725,2106353,125574,1880573,+,P,4,919047,793473,793473,0.37670466441285005,4,400318,926211,525893
726,8780171,47833,7840439,+,P,2,3386125,3338292,3338292,0.38020808478559243,6,2154213,4356260,2202047
727,2309921,151473,2120653,-,M+,2,1032139,880666,880666,0.38125373118820949,4,37794,833571,795777
728,1727779,88188,1504589,+,P,4,751761,663573,663573,0.38406127172514543,6,77260,242709,165449
729,3813391,2251148,3686339,+,P,2,3725152,1474004,1474004,0.38653366518146187,6,672878,3596905,2924027
730,3339029,1826946,3151157,+,P,2,3118359,1291413,1291413,0.38676303799697459,4,196978,2220903,2023925
731,7570637,4343528,7318613,+,P,2,7272976,2929448,2929448,0.38694868080453465,4,1462940,7269409,5806469
732,4454521,457769,3961967,+,P,2,2186338,1728569,1728569,0.38804823234641839,6,548873,1555516,1006643
733,9338071,33757,8605561,+,P,2,3664099,3630342,3630342,0.38876787293649834,6,4176743,8387244,4210501
734,6544277,2805537,6082751,+,P,2,260380,2545157,2545157,0.38891339715601891,4,508057,3821652,3313595
735,1885601,60090,1771271,-,M+,2,793641,733551,733551,0.38902768931497173,4,54239,1025200,970961
736,1514783,64540,1331989,-,M+,2,653909,589369,589369,0.38907817159289482,6,118253,170684,52431
737,3320791,77853,3084083,-,M+,4,1374169,1296316,1296316,0.39036362119747975,6,158854,1585981,1427127
738,7706177,4560812,7397113,+,P,2,7571151,3010339,3010339,0.39063974263762691,4,981916,6524645,5542729
739,9044951,4957574,8599553,+,P,2,8502172,3544598,3544598,0.39188692122267993,4,969590,6896755,5927165
740,8265617,312313,7792457,-,M+,2,3552192,3239879,3239879,0.3919706175594635,6,160846,4641183,4480337
741,7859581,3560732,7335047,+,P,2,471282,3089450,3089450,0.39308075074231058,4,627110,4814953,4187843
742,2570137,186938,2236489,+,P,2,1220726,1033788,1033788,0.40223069820791657,6,47662,282263,234601
743,9462689,860056,8426419,+,P,2,4693301,3833245,3833245,0.40509045578904684,4,1348742,3557541,2208799
744,3816557,1561929,3619723,+,P,4,12711,1549218,1549218,0.40592030984995114,4,876789,3315508,2438719
745,9464647,297234,8779517,-,M+,2,4143858,3846624,3846624,0.40642022887911194,4,387895,4371502,3983607
746,9044951,4224367,8599553,+,P,2,542778,3681589,3681589,0.40703249802016617,4,1702797,7629962,5927165
747,5938181,3055529,5613109,+,P,2,5520521,2464992,2464992,0.41510893655818171,4,607147,4269824,3662677
748,3775763,44635,3464977,+,P,2,1616935,1572300,1572300,0.41641914495162963,4,1555625,3155886,1600261
749,8522149,89120,7656149,-,M+,2,3651197,3562077,3562077,0.41797872813535647,6,776879,2371028,1594149
750,6429419,445874,5775983,-,M+,2,3166759,2720885,2720885,0.42319298213415552,4,207561,1409492,1201931
751,7761181,53905,6875053,+,P,2,3343043,3289138,3289138,0.42379349225330526,4,1504379,3062664,1558285
752,9536321,358389,8828563,-,M+,2,4406634,4048245,4048245,0.42450804665656705,4,349368,4223625,3874257
753,9726137,18941,8623807,+,P,2,4152384,4133443,4133443,0.42498301226889978,4,1990885,4000712,2009827
754,8772209,3775424,8073467,+,P,2,44580,3730844,3730844,0.42530268031689622,4,105590,3986605,3881015
755,1233361,48565,1073143,-,M-,2,577262,528697,528697,0.42866362727538815,6,63269,111652,48383
756,4418069,84675,4309489,-,M+,2,1987290,1902615,1902615,0.43064402117757783,6,23904,3573333,3549429
757,6912281,268884,6330551,-,M+,2,3271969,3003085,3003085,0.43445644064528049,4,312845,2571286,2258441
758,8335597,483552,7489127,+,P,2,4114649,3631097,3631097,0.43561331000047149,6,1926754,4337061,2410307
759,3776683,77317,3670109,-,M+,2,1726085,1648768,1648768,0.4365651022338915,4,29256,2953347,2924091
760,3816557,2134504,3619723,+,P,4,3803845,1669341,1669341,0.43739448932637454,4,304214,2742933,2438719
761,9749819,231279,8418457,+,P,2,4511695,4280416,4280416,0.43902517574941646,6,199005,629290,430285
762,2877649,37675,2565347,-,M+,2,1307149,1269474,1269474,0.44114970241332419,6,274626,653859,379233
763,8323291,321550,7619917,+,P,2,4010242,3688692,3688692,0.4431771038643248,6,3078122,6477795,3399673
764,1331411,41690,1236329,-,M+,4,638617,596927,596927,0.44834164656894077,6,53391,624146,570755
765,1579313,746465,1485733,+,P,2,37965,708500,708500,0.44861278289990647,4,177787,1102040,924253
766,6866329,156365,6187837,-,M+,2,3290841,3134476,3134476,0.45649953563250467,4,522126,1960519,1438393
767,5987677,3203208,5601251,+,P,2,5943100,2739892,2739892,0.45758847713395362,6,79486,3362181,3282695
768,8253991,170011,7813759,-,M+,2,3957967,3787956,3787956,0.45892417377242112,4,270220,5002355,4732135
769,3008563,81526,2700967,-,M+,2,1496774,1415248,1415248,0.47040663599200017,4,226069,773864,547795
770,6318409,48459,5685557,-,M+,2,3039969,2991510,2991510,0.47345937877715732,6,584392,1839985,1255593
771,4485629,12563,3864059,-,M-,2,2198695,2186132,2186132,0.48736353363151524,6,122075,609006,486931
