q,occurrences,plus_occurrences,minus_occurrences,unique_Aq,zq_size,selected_occurrences,selected_digits,min_linear_distance,min_cyclic_distance,min_normalized_distance,heuristic_AZ_over_q,max_K_premark,max_K_selected
1707767,1,0,1,1,2,0,0,1350,1350,0.00079050596480667449,1.1711199478617399e-06,1,0
1715237,2,2,0,2,0,0,0,-1,-1,,0,1,0
1727779,1,1,0,1,4,0,0,663573,663573,0.38406127172514543,2.3151109024938952e-06,1,0
1731407,2,2,0,2,2,0,0,43769,43769,0.025279440362664583,2.310259806042138e-06,1,0
1734763,2,2,0,2,0,0,0,-1,-1,,0,1,0
1736729,1,0,1,1,0,0,0,-1,-1,,0,1,0
1743059,2,2,0,2,0,0,0,-1,-1,,0,1,0
1754147,1,0,1,1,4,0,0,276250,276250,0.15748395088895059,2.2803106011069767e-06,1,0
1762627,2,2,0,2,2,0,0,247510,247510,0.14042108738831302,2.2693400248606201e-06,1,0
1765573,2,2,0,2,2,0,0,41548,41548,0.023532303677049886,2.265553449220168e-06,1,0
1765913,1,1,0,1,0,0,0,-1,-1,,0,1,0
1773319,2,2,0,2,0,0,0,-1,-1,,0,1,0
1773847,2,2,0,2,2,0,0,329058,329058,0.1855052887875899,2.2549859147942297e-06,1,0
1797319,2,2,0,2,0,0,0,-1,-1,,0,1,0
1799887,1,1,0,1,0,0,0,-1,-1,,0,1,0
1803337,2,2,0,2,0,0,0,-1,-1,,0,1,0
1807187,1,0,1,1,2,0,0,170398,170398,0.094289080211400367,1.1066923345508794e-06,1,0
1807769,1,1,0,1,0,0,0,-1,-1,,0,1,0
1828153,2,2,0,2,0,0,0,-1,-1,,0,1,0
1829143,1,1,0,1,2,0,0,148520,148520,0.081196494751913872,1.093408224507324e-06,1,0
1831033,1,1,0,1,0,0,0,-1,-1,,0,1,0
1831877,1,1,0,1,4,0,0,207301,207301,0.11316316543086681,2.1835527166944071e-06,1,0
1833527,2,2,0,2,0,0,0,-1,-1,,0,1,0
1834403,1,0,1,1,0,0,0,-1,-1,,0,1,0
1839473,2,2,0,2,2,0,0,454637,454637,0.24715611482201696,2.1745358589117644e-06,1,0
1840351,2,2,0,2,2,0,0,103131,103131,0.05603876651790881,2.173498425028704e-06,1,0
1854701,1,1,0,1,0,0,0,-1,-1,,0,1,0
1855811,1,0,1,1,2,0,0,600718,600718,0.32369567806204402,1.0776959507191195e-06,1,0
1859687,1,1,0,1,0,0,0,-1,-1,,0,1,0
1862737,2,2,0,2,0,0,0,-1,-1,,0,1,0
1871627,2,2,0,2,0,0,0,-1,-1,,0,1,0
1878229,1,1,0,1,0,0,0,-1,-1,,0,1,0
1885243,2,2,0,2,2,0,0,115301,115301,0.061159755002405523,2.121742396073079e-06,1,0
1885601,1,0,1,1,2,0,0,733551,733551,0.38902768931497173,1.0606697811467006e-06,1,0
1887131,1,0,1,1,0,0,0,-1,-1,,0,1,0
1888907,2,2,0,2,2,0,0,256252,256252,0.13566152277481106,2.117626754519942e-06,1,0
1912843,2,2,0,2,0,0,0,-1,-1,,0,1,0
1915777,2,2,0,2,0,0,0,-1,-1,,0,1,0
1919459,2,2,0,2,0,0,0,-1,-1,,0,1,0
1921393,2,2,0,2,0,0,0,-1,-1,,0,1,0
1932859,2,2,0,2,0,0,0,-1,-1,,0,1,0
1935893,1,1,0,1,0,0,0,-1,-1,,0,1,0
1946501,2,1,1,2,0,0,0,-1,-1,,0,1,0
1956439,2,2,0,2,0,0,0,-1,-1,,0,1,0
1963391,1,1,0,1,2,0,0,552492,552492,0.28139682824256607,1.0186458020842512e-06,1,0
1965443,1,0,1,1,2,0,0,173894,173894,0.088475727863896333,1.0175822956961866e-06,1,0
1966871,1,1,0,1,0,0,0,-1,-1,,0,1,0
1971503,1,0,1,1,2,0,0,573119,573119,0.29070156119468243,1.0144544542919792e-06,1,0
1982921,2,2,0,2,0,0,0,-1,-1,,0,1,0
1996763,1,1,0,1,2,0,0,109473,109473,0.05482523464226851,1.0016211237888523e-06,1,0
2002249,2,2,0,2,0,0,0,-1,-1,,0,1,0
2009981,2,2,0,2,0,0,0,-1,-1,,0,1,0
2010571,1,1,0,1,6,0,0,74263,74263,0.036936273327328406,2.984226868884511e-06,1,0
2022791,1,0,1,1,2,0,0,292317,292317,0.14451171673198071,9.887328943029704e-07,1,0
2026081,2,2,0,2,2,0,0,18903,18903,0.0093298342958647758,1.9742547311780723e-06,1,0
2026841,1,0,1,1,0,0,0,-1,-1,,0,1,0
2027549,2,2,0,2,2,0,0,202442,202442,0.099845675739525894,1.9728253176618667e-06,1,0
