rank,cyclic,linear,nearest_zero,sign,q,t,p,Z,selected
120,750785,750785,2514341,+,11751497,1763556,10833983,2,0
121,751800,751800,10091497,+,10680221,9339697,10567009,4,0
122,758440,758440,2020884,+,10210561,1262444,9116111,4,0
123,765244,765244,1116529,-,10557163,351285,9208561,4,0
124,768002,768002,4096886,+,14666749,3328884,13545127,2,0
125,771099,771099,6419169,+,10496527,5648070,10120073,4,0
126,774426,774426,5431982,+,10880699,4657556,10219009,4,0
127,778595,778595,1349022,-,13111237,570427,11962243,4,0
128,785778,785778,2588155,+,10716973,1802377,9835601,2,0
129,789516,789516,11668974,+,12985747,10879458,12698383,6,0
130,811504,811504,3797555,+,14245897,2986051,12672251,4,0
131,819474,819474,6044572,+,14740331,5225098,13716557,2,0
132,820832,820832,5501301,+,14505523,4680469,13129381,2,0
133,821033,821033,7639439,+,12439331,8460472,12126403,2,0
134,825843,825843,1409964,-,11507747,584121,10902937,2,0
135,827560,827560,20595,-,10732649,848155,9488779,4,0
136,832886,832886,4174946,+,13874219,3342060,12831653,2,0
137,839697,839697,3952528,+,14041669,3112831,12740003,2,0
138,849113,849113,2698544,+,13857691,3547657,12577963,2,0
139,857387,857387,6379264,+,14812261,5521877,13805839,4,0
140,858477,858477,3199631,+,11693483,2341154,10774223,2,0
141,861050,861050,4428866,+,11600159,3567816,10846141,2,0
142,874816,874816,2514341,+,11751497,3389157,10833983,2,0
143,887992,887992,1742243,+,10005143,2630235,8996083,2,0
144,897082,897082,19386,-,12337471,916468,11005301,2,0
145,906485,906485,4277832,+,10961129,5184317,10441259,4,0
146,910694,910694,741842,+,10344907,1652536,9559841,2,0
147,917247,917247,8582870,+,12515639,7665623,11909851,2,0
148,922235,922235,2842411,+,12718523,1920176,11531029,4,0
149,924766,924766,4932854,+,12825713,4008088,11681729,4,0
150,927649,927649,1336274,+,10414379,408625,9126203,2,0
151,945789,945789,1617827,-,12299597,672038,11295617,2,0
152,965093,965093,4602267,+,14994851,5567360,13932649,2,0
153,987897,987897,1242437,-,10699387,254540,10186601,2,0
154,991610,991610,2485799,+,12161711,3477409,11232409,4,0
155,993025,993025,10625106,+,13353877,9632081,12952631,2,0
156,1061993,1061993,2910174,+,12312799,1848181,11247751,2,0
157,1069352,1069352,3353641,+,10152347,4422993,9598637,2,0
158,1095199,1095199,795249,+,14747767,1890448,13572607,2,0
159,1095377,1095377,87173,+,13279169,1182550,11903933,2,0
160,1096266,1096266,1199065,+,10272851,2295331,9624943,2,0
161,1117520,1117520,1505875,+,12790639,388355,11391271,2,0
162,1140721,1140721,3853919,+,13162553,2713198,11702861,2,0
163,1144253,1144253,2026955,+,12270367,3171208,11040707,2,0
164,1145243,1145243,1152950,-,12807677,7707,11957249,2,0
165,1159253,1159253,3146869,+,11631449,1987616,10722619,2,0
166,1160156,1160156,1359295,-,11500967,199139,11297603,4,0
167,1172050,1172050,8341759,+,11645219,7169709,11167817,2,0
168,1193134,1193134,5455124,+,10470587,6648258,10119323,2,0
169,1196411,1196411,2252073,+,10922383,3448484,10236319,4,0
170,1197830,1197830,2213134,-,11107847,1015304,9925687,2,0
171,1212625,1212625,1503956,-,14342353,291331,13254239,4,0
172,1217640,1217640,5331790,+,10646969,6549430,10194707,4,0
173,1218223,1218223,5118101,+,12823703,6336324,12116081,2,0
174,1221018,1221018,27273,+,14770939,1248291,13230493,2,0
175,1221583,1221583,4075225,+,10756951,5296808,10295981,6,0
176,1222225,1222225,2106548,+,12339517,3328773,11529863,2,0
177,1250833,1250833,9236515,+,12113251,7985682,11688539,4,0
178,1250851,1250851,8585587,+,14029859,7334736,13093469,2,0
179,1251283,1251283,3069207,+,14043103,4320490,13029241,2,0
180,1254925,1254925,1130124,+,10057501,2385049,8971751,2,0
181,1255426,1255426,1459955,-,12364669,204529,10639571,2,0
182,1258583,1258583,4799452,+,12201491,3540869,11397931,4,0
183,1261595,1261595,1619112,-,11945831,357517,11019367,4,0
184,1276985,1276985,1489314,+,13233239,212329,11408129,4,0
185,1277636,1277636,2592405,+,10880699,3870041,10219009,4,0
186,1280161,1280161,8481618,+,11369047,7201457,10898561,2,0
187,1301849,1301849,1576047,+,13801849,2877896,12473119,2,0
188,1305300,1305300,1788442,-,10045207,483142,9209117,4,0
189,1317126,1317126,3932768,+,12515639,5249894,11909851,2,0
190,1318581,1318581,7893446,+,11439413,6574865,10793621,2,0
191,1320233,1320233,4383441,+,14672767,3063208,13193723,2,0
192,1341935,1341935,1367608,-,13144597,25673,11724551,4,0
193,1345360,1345360,1812465,-,10247117,467105,8981597,2,0
194,1365407,1365407,1821771,+,11078269,456364,9958631,4,0
195,1368634,1368634,9566000,+,11026643,8197366,10646329,2,0
196,1394501,1394501,5417222,+,14856769,6811723,13730851,2,0
197,1394588,1394588,6994424,+,10183219,5599836,9591949,2,0
198,1396734,1396734,6419169,+,10496527,7815903,10120073,4,0
199,1400597,1400597,2103389,+,13348277,702792,12303589,2,0
200,1405837,1405837,1360995,+,11273027,2766832,10340923,4,0
