X,rank_abs_C,p,q,r,zp,zq,zr,Hpqr,den,base_num,single_total_num,pair_total_num,primitive_num,lower_exact,C_exact,C_decimal,abs_C_decimal,total_excess_exact,scaled_reconstruction_error
256,84,283,293,307,2,4,2,0,25456133,1048576,1248,136410,-1186234,1186234/25456133,-1186234/25456133,-0.046599143711262038,0.046599143711262038,-1048576/25456133,0
256,85,283,293,347,2,4,2,0,28772893,1048576,1864,244036,-1294476,1294476/28772893,-1294476/28772893,-0.044989428070371651,0.044989428070371651,-1048576/28772893,0
256,86,271,293,443,4,4,2,0,35175529,2097152,-3584,-539790,-1553778,1553778/35175529,-1553778/35175529,-0.044172128868339121,0.044172128868339121,-2097152/35175529,0
256,87,293,379,439,4,6,2,0,48749633,3145728,-6936,-1009040,-2129752,2129752/48749633,-2129752/48749633,-0.043687549401653959,0.043687549401653959,-3145728/48749633,0
256,88,271,293,439,4,4,2,0,34857917,2097152,-8480,-566094,-1522578,1522578/34857917,-1522578/34857917,-0.043679546313682482,0.043679546313682482,-2097152/34857917,0
256,89,379,463,499,6,2,6,0,87563023,4718592,-5352,-902694,-3810546,3810546/87563023,-3810546/87563023,-0.043517752921801246,0.043517752921801246,-4718592/87563023,0
256,90,283,367,499,2,2,6,0,51826639,1572864,4636,667568,-2245068,2245068/51826639,-2245068/51826639,-0.043318803675461183,0.043318803675461183,-1572864/51826639,0
256,91,307,347,379,2,2,6,0,40374491,1572864,2076,169170,-1744110,1744110/40374491,-1744110/40374491,-0.043198315490838017,0.043198315490838017,-1572864/40374491,0
256,92,283,307,499,2,2,6,0,43353619,1572864,1072,284556,-1858492,1858492/43353619,-1858492/43353619,-0.042868208995424352,0.042868208995424352,-1572864/43353619,0
256,93,293,379,433,4,6,2,0,48083351,3145728,-8280,-1084928,-2052520,2052520/48083351,-2052520/48083351,-0.042686708752890372,0.042686708752890372,-3145728/48083351,0
256,94,271,283,347,4,2,2,0,26612471,1048576,1240,78964,-1128780,1128780/26612471,-1128780/26612471,-0.042415452514725144,0.042415452514725144,-1048576/26612471,0
256,95,271,293,431,4,4,2,0,34222693,2097152,-5248,-644750,-1447154,1447154/34222693,-1447154/34222693,-0.042286385820075587,0.042286385820075587,-2097152/34222693,0
256,96,293,307,347,4,2,2,0,31212997,1048576,80,252022,-1300678,1300678/31212997,-1300678/31212997,-0.041671038510015558,0.041671038510015558,-1048576/31212997,0
256,97,271,443,499,4,2,6,0,59906447,3145728,-6976,-643780,-2494972,2494972/59906447,-2494972/59906447,-0.041647804617756752,0.041647804617756752,-3145728/59906447,0
256,98,331,379,419,2,6,2,0,52563131,1572864,1692,604190,-2178746,2178746/52563131,-2178746/52563131,-0.041450080285361998,0.041450080285361998,-1572864/52563131,0
256,99,257,331,499,2,2,6,0,42448433,1572864,-1988,187260,-1758136,1758136/42448433,-1758136/42448433,-0.041418160241627762,0.041418160241627762,-1572864/42448433,0
256,100,257,293,307,2,4,2,0,23117407,1048576,-688,-93238,-954650,954650/23117407,-954650/23117407,-0.041295721444883506,0.041295721444883506,-1048576/23117407,0
256,101,257,293,503,2,4,2,0,37876403,1048576,864,492886,-1542326,1542326/37876403,-1542326/37876403,-0.040719970161897372,0.040719970161897372,-1048576/37876403,0
256,102,283,293,367,2,4,2,0,30431273,1048576,3624,163694,-1215894,1215894/30431273,-1215894/30431273,-0.039955410343826235,0.039955410343826235,-1048576/30431273,0
256,103,293,307,499,4,2,6,0,44885549,3145728,-6040,-1351346,-1788342,1788342/44885549,-1788342/44885549,-0.039842266382884163,0.039842266382884163,-3145728/44885549,0
256,104,283,347,379,2,2,6,0,37218179,1572864,4752,-95238,-1482378,1482378/37218179,-1482378/37218179,-0.039829407021767509,0.039829407021767509,-1572864/37218179,0
256,105,307,347,499,2,2,6,0,53157971,1572864,-680,503670,-2075854,2075854/53157971,-2075854/53157971,-0.039050662787712492,0.039050662787712492,-1572864/53157971,0
256,106,257,379,503,2,6,2,0,48993709,1572864,3252,295714,-1871830,1871830/48993709,-1871830/48993709,-0.03820551736550503,0.03820551736550503,-1572864/48993709,0
256,107,257,283,379,2,2,6,0,27565049,1572864,3600,-524328,-1052136,1052136/27565049,-1052136/27565049,-0.038169204778123196,0.038169204778123196,-1572864/27565049,0
256,108,271,433,499,4,2,6,0,58554157,3145728,-15664,-911534,-2218530,2218530/58554157,-2218530/58554157,-0.037888514046918995,0.037888514046918995,-3145728/58554157,0
256,109,379,419,443,6,2,2,0,70348843,1572864,2316,1088762,-2663942,2663942/70348843,-2663942/70348843,-0.037867602172220516,0.037867602172220516,-1572864/70348843,0
256,110,347,379,419,2,6,2,0,55103947,1572864,2772,504348,-2079984,2079984/55103947,-2079984/55103947,-0.037746551984742582,0.037746551984742582,-1572864/55103947,0
256,111,271,283,367,4,2,2,0,28146331,1048576,3000,9490,-1061066,1061066/28146331,-1061066/28146331,-0.037698199456263057,0.037698199456263057,-1048576/28146331,0
256,112,271,293,503,4,4,2,0,39939709,2097152,-1104,-592826,-1503222,1503222/39939709,-1503222/39939709,-0.037637279730806251,0.037637279730806251,-2097152/39939709,0
256,113,379,419,431,6,2,2,0,68443231,1572864,1068,985442,-2559374,2559374/68443231,-2559374/68443231,-0.037394114255067827,0.037394114255067827,-1572864/68443231,0
256,114,293,443,499,4,2,6,0,64769701,3145728,-5104,-734976,-2405648,2405648/64769701,-2405648/64769701,-0.037141564077932059,0.037141564077932059,-3145728/64769701,0
256,115,293,379,503,4,6,2,0,55856641,3145728,4128,-1077298,-2072558,2072558/55856641,-2072558/55856641,-0.037104952301016451,0.037104952301016451,-3145728/55856641,0
256,116,331,379,443,2,6,2,0,55573907,1572864,1464,473332,-2047660,2047660/55573907,-2047660/55573907,-0.036845708904360459,0.036845708904360459,-1572864/55573907,0
256,117,271,307,433,4,2,2,0,36024301,1048576,-3744,263396,-1308228,1308228/36024301,-1308228/36024301,-0.036315152929684881,0.036315152929684881,-1048576/36024301,0
256,118,331,379,431,2,6,2,0,54068519,1572864,216,382684,-1955764,1955764/54068519,-1955764/54068519,-0.036171954330763159,0.036171954330763159,-1572864/54068519,0
256,119,347,367,499,2,2,6,0,63547151,1572864,2884,712994,-2288742,2288742/63547151,-2288742/63547151,-0.036016437621255434,0.036016437621255434,-1572864/63547151,0
256,120,257,271,433,2,4,2,0,30157151,1048576,-3896,40094,-1084774,1084774/30157151,-1084774/30157151,-0.035970705588203609,0.035970705588203609,-1048576/30157151,0
256,121,331,347,379,2,2,6,0,43530803,1572864,1920,-9706,-1565078,1565078/43530803,-1565078/43530803,-0.035953345496521162,0.035953345496521162,-1572864/43530803,0
256,122,293,331,347,4,2,2,0,33653101,1048576,-24,157024,-1205576,1205576/33653101,-1205576/33653101,-0.035823622910708883,0.035823622910708883,-1048576/33653101,0
256,123,257,347,379,2,2,6,0,33798841,1572864,1848,-370074,-1204638,1204638/33798841,-1204638/33798841,-0.035641399656278154,0.035641399656278154,-1572864/33798841,0
256,124,283,367,379,2,2,6,0,39363319,1572864,7392,-185864,-1394392,1394392/39363319,-1394392/39363319,-0.035423638946705686,0.035423638946705686,-1572864/39363319,0
256,125,271,307,419,4,2,2,0,34859543,1048576,-696,184976,-1232856,1232856/34859543,-1232856/34859543,-0.035366384464650041,0.035366384464650041,-1048576/34859543,0
256,126,307,379,419,2,6,2,0,48751907,1572864,1848,123156,-1697868,1697868/48751907,-1697868/48751907,-0.034826699189428628,0.034826699189428628,-1572864/48751907,0
256,127,271,307,331,4,2,2,0,27538207,1048576,-1264,-89094,-958218,958218/27538207,-958218/27538207,-0.034795947317848255,0.034795947317848255,-1048576/27538207,0
256,128,257,271,419,2,4,2,0,29182093,1048576,-848,-32726,-1015002,1015002/29182093,-1015002/29182093,-0.034781672445495938,0.034781672445495938,-1048576/29182093,0
256,129,271,347,433,4,2,2,0,40718021,1048576,-3128,364410,-1409858,1409858/40718021,-1409858/40718021,-0.034624914604764315,0.034624914604764315,-1048576/40718021,0
256,130,257,293,367,2,4,2,0,27635467,1048576,1688,-114426,-935838,935838/27635467,-935838/27635467,-0.033863657885716207,0.033863657885716207,-1048576/27635467,0
256,131,293,379,463,4,6,2,0,51414761,3145728,-1968,-1406580,-1737180,1737180/51414761,-1737180/51414761,-0.033787573183506579,0.033787573183506579,-3145728/51414761,0
256,132,331,379,503,2,6,2,0,63100847,1572864,3324,554058,-2130246,2130246/63100847,-2130246/63100847,-0.033759388364469976,0.033759388364469976,-1572864/63100847,0
256,133,271,347,419,4,2,2,0,39401503,1048576,-80,281510,-1330006,1330006/39401503,-1330006/39401503,-0.03375520979491569,0.03375520979491569,-1048576/39401503,0
256,134,347,379,443,2,6,2,0,58260259,1572864,2544,378098,-1953506,1953506/58260259,-1953506/58260259,-0.033530678262175248,0.033530678262175248,-1572864/58260259,0
256,135,271,307,503,4,2,2,0,41848091,1048576,392,344118,-1393086,1393086/41848091,-1393086/41848091,-0.033289117059127023,0.033289117059127023,-1048576/41848091,0
256,136,271,331,347,4,2,2,0,31126247,1048576,-648,-20720,-1027208,1027208/31126247,-1027208/31126247,-0.033001344492318653,0.033001344492318653,-1048576/31126247,0
256,137,379,419,439,6,2,2,0,69713639,1572864,-1356,728072,-2299580,2299580/69713639,-2299580/69713639,-0.032986084688535623,0.032986084688535623,-1572864/69713639,0
256,138,257,293,463,2,4,2,0,34864363,1048576,-1168,98624,-1146032,1146032/34864363,-1146032/34864363,-0.032871158437628702,0.032871158437628702,-1048576/34864363,0
256,139,347,379,431,2,6,2,0,56682103,1572864,1296,285146,-1859306,1859306/56682103,-1859306/56682103,-0.032802346800717683,0.032802346800717683,-1572864/56682103,0
256,140,283,379,419,2,6,2,0,44940683,1572864,4524,-112020,-1465368,1465368/44940683,-1465368/44940683,-0.03260671405461283,0.03260671405461283,-1572864/44940683,0
256,141,271,331,419,4,2,2,0,37584719,1048576,-800,177286,-1225062,1225062/37584719,-1225062/37584719,-0.032594682961445048,0.032594682961445048,-1048576/37584719,0
256,142,293,347,367,4,2,2,0,37313257,1048576,2456,163514,-1214546,1214546/37313257,-1214546/37313257,-0.032549986188554918,0.032549986188554918,-1048576/37313257,0
256,143,347,419,499,2,2,6,0,72551107,1572864,16,776576,-2349456,2349456/72551107,-2349456/72551107,-0.032383461771300061,0.032383461771300061,-1572864/72551107,0
256,144,379,443,503,6,2,2,0,84452191,1572864,3948,1151526,-2728338,2728338/84452191,-2728338/84452191,-0.032306302153842281,0.032306302153842281,-1572864/84452191,0
256,145,307,331,379,2,2,6,0,38512843,1572864,996,-348658,-1225202,1225202/38512843,-1225202/38512843,-0.031812816311691139,0.031812816311691139,-1572864/38512843,0
256,146,379,431,499,6,2,6,0,81511151,4718592,-5532,-2124510,-2588550,2588550/81511151,-2588550/81511151,-0.031757004633635955,0.031757004633635955,-4718592/81511151,0
256,147,257,293,443,2,4,2,0,33358343,1048576,-376,9040,-1057240,1057240/33358343,-1057240/33358343,-0.031693420743350471,0.031693420743350471,-1048576/33358343,0
256,148,331,367,379,2,2,6,0,46039783,1572864,4560,-122772,-1454652,1454652/46039783,-1454652/46039783,-0.03159554422747822,0.03159554422747822,-1572864/46039783,0
256,149,257,293,439,2,4,2,0,33057139,1048576,-2824,-3664,-1042088,1042088/33057139,-1042088/33057139,-0.031523841189039378,0.031523841189039378,-1048576/33057139,0
256,150,271,307,367,4,2,2,0,30533299,1048576,1216,-87480,-962312,962312/30533299,-962312/30533299,-0.031516803998152966,0.031516803998152966,-1048576/30533299,0
256,151,271,307,463,4,2,2,0,38520211,1048576,-1640,163222,-1210158,1210158/38520211,-1210158/38520211,-0.03141618305257985,0.03141618305257985,-1048576/38520211,0
256,152,257,283,307,2,2,2,0,22328417,524288,1020,175386,-700694,700694/22328417,-700694/22328417,-0.031381266302935848,0.031381266302935848,-524288/22328417,0
256,153,293,331,367,4,2,2,0,35592761,1048576,1736,61722,-1112034,1112034/35592761,-1112034/35592761,-0.031243263201750492,0.031243263201750492,-1048576/35592761,0
256,154,271,367,433,4,2,2,0,43064881,1048576,-1368,296296,-1343504,1343504/43064881,-1343504/43064881,-0.031197206837747907,0.031197206837747907,-1048576/43064881,0
256,155,257,293,433,2,4,2,0,32605333,1048576,-3272,-29168,-1016136,1016136/32605333,-1016136/32605333,-0.031164717747247054,0.031164717747247054,-1048576/32605333,0
256,156,271,433,463,4,2,2,0,54329809,1048576,-4224,643766,-1688118,1688118/54329809,-1688118/54329809,-0.031071671906669138,0.031071671906669138,-1048576/54329809,0
256,157,271,331,503,4,2,2,0,45119603,1048576,288,352556,-1401420,1401420/45119603,-1401420/45119603,-0.031060113715982829,0.031060113715982829,-1048576/45119603,0
256,158,257,293,431,2,4,2,0,32454731,1048576,-1208,-42096,-1005272,1005272/32454731,-1005272/32454731,-0.030974590422579686,0.030974590422579686,-1048576/32454731,0
256,159,293,347,443,4,2,2,0,45040253,1048576,392,341700,-1390668,1390668/45040253,-1390668/45040253,-0.030876114306018661,0.030876114306018661,-1048576/45040253,0
256,160,293,331,463,4,2,2,0,44903129,1048576,-1120,331604,-1379060,1379060/44903129,-1379060/44903129,-0.030711890924126913,0.030711890924126913,-1048576/44903129,0
256,161,331,379,439,2,6,2,0,55072111,1572864,-2208,116866,-1687522,1687522/55072111,-1687522/55072111,-0.030642043120518842,0.030642043120518842,-1572864/55072111,0
256,162,293,347,433,4,2,2,0,44023543,1048576,-2504,296292,-1342364,1342364/44023543,-1342364/44023543,-0.030491957451039324,0.030491957451039324,-1048576/44023543,0
256,163,293,347,431,4,2,2,0,43820201,1048576,-440,281924,-1330060,1330060/43820201,-1330060/43820201,-0.030352667711405521,0.030352667711405521,-1048576/43820201,0
256,164,367,463,499,2,2,6,0,84790579,1572864,1240,997606,-2571710,2571710/84790579,-2571710/84790579,-0.030330138446159213,0.030330138446159213,-1572864/84790579,0
256,165,271,307,443,4,2,2,0,36856271,1048576,-848,69158,-1116886,1116886/36856271,-1116886/36856271,-0.030303825365295366,0.030303825365295366,-1048576/36856271,0
256,166,271,433,443,4,2,2,0,51982949,1048576,-3432,529542,-1574686,1574686/51982949,-1574686/51982949,-0.030292356056983223,0.030292356056983223,-1048576/51982949,0
256,167,307,379,443,2,6,2,0,51544379,1572864,1620,-14614,-1559870,1559870/51544379,-1559870/51544379,-0.030262659678177518,0.030262659678177518,-1572864/51544379,0
256,168,257,271,463,2,4,2,0,32246561,1048576,-1792,-72080,-974704,974704/32246561,-974704/32246561,-0.030226603078697289,0.030226603078697289,-1048576/32246561,0
256,169,271,347,367,4,2,2,0,34511579,1048576,1832,-7586,-1042822,1042822/34511579,-1042822/34511579,-0.030216583251667505,0.030216583251667505,-1048576/34511579,0
256,170,271,433,439,4,2,2,0,51513577,1048576,-5880,511910,-1554606,1554606/51513577,-1554606/51513577,-0.030178568263663771,0.030178568263663771,-1048576/51513577,0
256,171,257,293,419,2,4,2,0,31551119,1048576,-224,-96864,-951488,951488/31551119,-951488/31551119,-0.030157028661962831,0.030157028661962831,-1048576/31551119,0
256,172,271,307,439,4,2,2,0,36523483,1048576,-3296,55558,-1100838,1100838/36523483,-1100838/36523483,-0.030140553681586173,0.030140553681586173,-1048576/36523483,0
