X,rep,seed,F3,ordered_primitive_signed_total,ordered_primitive_abs_mass,triple_top1_abs_share,triple_top5_abs_share,triple_top10_abs_share,triple_participation_ratio,max_load,rows_K_ge_3
32,46,731420046,0.0,-0.9879123018680754,1.788868694391231,0.3137434143272784,1.0,1.0,3.8301317399186927,2.0,0.0
32,47,731420047,6.0,5.110836288480485,6.536404769287887,0.8833730147855091,1.0,1.0,1.2693945037374348,3.0,1.0
32,48,731420048,0.0,-2.4661651601384182,2.4661651601384182,0.3073464404121065,1.0,1.0,3.8413790843624884,2.0,0.0
32,49,731420049,0.0,-0.266015444486429,0.9817844735674214,0.5670023237800155,1.0,1.0,2.4389897130197826,2.0,0.0
32,50,731420050,0.0,-1.9655075212242177,1.9655075212242177,0.3554157990906387,1.0,1.0,3.5759888170046294,2.0,0.0
32,51,731420051,0.0,-1.9391367594052622,1.9391367594052622,0.29758936181788503,1.0,1.0,3.9030000456362535,2.0,0.0
32,52,731420052,0.0,-1.3319938172234542,1.3319938172234542,0.42603073815802067,1.0,1.0,2.740255074599198,2.0,0.0
32,53,731420053,0.0,-1.8115337465563477,1.8115337465563477,0.4108359621451104,1.0,1.0,3.416441499243275,2.0,0.0
32,54,731420054,0.0,-0.8958322305525797,0.8958322305525797,0.2714191079051965,1.0,1.0,3.963804576328954,2.0,0.0
32,55,731420055,0.0,-0.30432536101454977,0.6974998365289706,0.38503642734697996,1.0,1.0,3.280464495475264,2.0,0.0
32,56,731420056,6.0,3.106667181959099,7.469197387467368,0.7079652619150086,1.0,1.0,1.887980310913892,3.0,1.0
32,57,731420057,0.0,-2.6764367088711927,2.6764367088711927,0.35311585371862547,1.0,1.0,3.429970421250013,2.0,0.0
32,58,731420058,6.0,4.550267478899416,6.295599579682556,0.8613847594107037,1.0,1.0,1.33484803775956,3.0,1.0
32,59,731420059,0.0,-2.919518953756106,2.919518953756106,0.2596205386718703,1.0,1.0,3.996399979364465,2.0,0.0
32,60,731420060,0.0,-0.8253709968142839,1.097698895705117,0.5071282116998782,1.0,1.0,2.8748680162884117,2.0,0.0
32,61,731420061,0.0,-2.302511702602514,2.302511702602514,0.32919141413273617,1.0,1.0,3.6577792727212377,2.0,0.0
32,62,731420062,0.0,-0.9911080918067954,1.131617348479756,0.4528780862998586,1.0,1.0,3.0298359549091534,2.0,0.0
32,63,731420063,0.0,-2.702622844586398,2.702622844586398,0.35324514362950565,1.0,1.0,3.428512854087756,2.0,0.0
64,0,731740000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,1,731740001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,2,731740002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,3,731740003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,4,731740004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,5,731740005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,6,731740006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,7,731740007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
64,8,731740008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
