X,set_label,p,q,r,M,rank,k,conjugate_k,a_mod_p,b_mod_q,c_mod_r,pair_contribution,abs_pair_contribution,hp_80_140_delta,cumulative_signed,cumulative_over_C,unseen_single_mode_bound,ranking_inclusion_margin,ranking_certified_tolerance
32,actual,41,59,61,147559,6,21,147538,25,24,60,0.0463262726292406945908875083808538749317338614,0.0463262726292406959438530122952215606346726418,6.4468934e-82,-0.0466155479895043259319642459104215959087014198,0.651500629454751734037643,0.02638845860520431,0.0093206603346389187148,1
32,actual,41,59,61,147559,7,39,147520,23,53,33,0.0447364075172548578539873102776013245087778906,0.0447364075172548558700924559161649085581302643,1.6333861e-80,-0.00187914047224946811030787952034870613715611398,0.0262629370093445044243019,0.02638845860520431,0.0093206603346389187148,1
32,actual,41,59,61,147559,8,29,147530,15,50,48,-0.0417812177667459277496747942086782679816530743,0.0417812177667459261343196885718498378992080688,3.3362346e-81,-0.0436603582389953961961914785661065252497792244,0.6101987877806328564034288,0.02638845860520431,0.0093206603346389187148,1
32,actual,41,59,61,147559,9,28,147531,6,32,19,-0.0389705045713971885219742490440566344515982989,0.0389705045713971895415816959484800463542342186,8.2120624e-81,-0.082630862810392585737773174514586571604013443,1.154852006576881917609967,0.02638845860520431,0.0093206603346389187148,1
32,actual,41,59,61,147559,10,36,147523,37,58,7,-0.0368833437466558535205671784919730234232487142,0.0368833437466558541895089717854716582223773003,8.1376709e-81,-0.119514206557048432988388242392829852178692818,1.670334988193929781630231,0.02638845860520431,0.0093206603346389187148,1
32,actual,41,59,61,147559,11,5,147554,4,31,23,0.0357161024586402875078156608830111194453708808,0.0357161024586402850444777357097336789593100548,9.3658369e-81,-0.0837981040984081410050166027758677955716848373,1.171165414155806772100732,0.02638845860520431,0.0093206603346389187148,1
32,actual,41,59,61,147559,12,33,147526,10,4,42,-0.0357091189398432298709890748683096476923881845,0.0357091189398432290458273996591742616146802902,1.2187922e-80,-0.119507223038251370050844002435042057186365128,1.670237386275936097845829,0.02638845860520431,0.0093206603346389187148,1
32,random_0,37,41,61,92537,1,7,92530,2,24,22,0.129200236152603917085677565126348791894470945,0.12920023615260392557679836045281263068318367,6.65027e-81,0.12920023615260392557679836045281263068318367,0.1449627432901304524559549,0.026388573166522915,0.0030883697977759395903,1
32,random_0,37,41,61,92537,2,13,92524,9,27,6,0.127243993241890786938265120964819186388835056,0.12724399324189078486213588803366292268037796,9.2340489e-81,0.256444229394494738194509864115389063954353333,0.2877305808484796334489886,0.026388573166522915,0.0030883697977759395903,1
32,random_0,37,41,61,92537,3,20,92517,11,10,28,0.0962645000015685400408058492393583336386215459,0.0962645000015685398109255288545682560652494431,1.4046019e-80,0.352708729396063291883223200784414075314998627,0.3957394082100456067507821,0.026388573166522915,0.0030883697977759395903,1
32,random_0,37,41,61,92537,4,6,92531,7,3,45,0.086491970017624183498231989150094667490403098,0.0864919700176241812439315026495023630559444427,4.5264999e-81,0.439200699413687500882730319062829948961734772,0.492783451005085193497024,0.026388573166522915,0.0030883697977759395903,1
32,random_0,37,41,61,92537,5,28,92509,8,14,27,-0.0499200220027474348967648600968805835119121572,0.0499200220027474356188079696039494592696428299,1.2865821e-80,0.389280677410940079141710157273337244987487793,0.4367731560542729707385945,0.026388573166522915,0.0030883697977759395903,1
32,random_0,37,41,61,92537,6,21,92516,6,31,5,-0.0430585769054233978063631475247788182614244395,0.0430585769054233971631084898490371415391564369,4.2687574e-81,0.346222100505516661161919955702614970505237579,0.3884614066623703898528674,0.026388573166522915,0.0030883697977759395903,1
32,random_0,37,41,61,92537,7,26,92511,18,13,12,0.0395107299732912711914261979067876293529294378,0.0395107299732912684020469384904572507366538048,6.7649097e-81,0.385732830478807908747285182471387088298797607,0.4327924696455586195398269,0.026388573166522915,0.0030883697977759395903,1
32,random_0,37,41,61,92537,8,9,92528,29,25,37,0.0385779561907703495642844892730314919017656682,0.038577956190770347488783187372973770834505558,7.2318124e-81,0.424310786669578277052750081566045992076396942,0.4760769598792696788436274,0.026388573166522915,0.0030883697977759395903,1
32,random_0,37,41,61,92537,9,11,92526,19,26,52,0.0382435927203752239905084198027295582500317613,0.0382435927203752246139600856622564606368541718,1.8577276e-80,0.462554379389953473911134551599388942122459412,0.5189862940964913295971428,0.026388573166522915,0.0030883697977759395903,1
32,random_0,37,41,61,92537,10,4,92533,17,2,30,0.0341157679470539550464414550516190887290270344,0.0341157679470539543231666357314679771661758423,2.0902169e-81,0.496670147337007428234301187330856919288635254,0.5572642064155762797739158,0.026388573166522915,0.0030883697977759395903,1
32,random_0,37,41,61,92537,11,8,92529,34,4,60,-0.0321084621193156033209631413130051533450138545,0.0321084621193156033447380082179734017699956894,7.6738226e-81,0.464561685217691811011775371298426762223243713,0.5212384924521314966128216,0.026388573166522915,0.0030883697977759395903,1
32,random_0,37,41,61,92537,12,33,92504,20,37,34,0.0294769429642988554069725583760253467842818909,0.0294769429642988550765991817570466082543134689,2.1940895e-80,0.494038628181990679966162360869930125772953033,0.5543116403283040449778696,0.026388573166522915,0.0030883697977759395903,1
32,random_1,37,59,61,133163,1,10,133153,1,40,18,-0.103785719070680954167414948614586097406261104,0.103785719070680959585928349042660556733608246,9.0181426e-81,-0.103785719070680959585928349042660556733608246,1.616423123813928386383054,0.026388475528991637,0.0010659558584262575354,1
32,random_1,37,59,61,133163,2,6,133157,8,24,23,0.0779841173030267907279108224314130969495068954,0.0779841173030267897914313834917265921831130981,1.6580248e-81,-0.0258016017676541697944969655509339645504951477,0.4018501399048107769473859,0.026388475528991637,0.0010659558584262575354,1
